Date,producer-price-index-yy european-union,consumer-price-index-yy european-union,markit-manufacturing-pmi european-union,markit-services-pmi european-union,consumer-confidence-indicator european-union,retail-sales-yy european-union,industrial-production-yy european-union,trade-balance european-union,unemployment-rate european-union,markit-composite-pmi european-union,ecb-deposit-rate-decision european-union,zew-indicator-of-economic-sentiment european-union,ecb-interest-rate-decision european-union,unemployment-rate switzerland,cpi-mm switzerland,cpi-yy switzerland,ppi-mm switzerland,ppi-yy switzerland,trade-balance switzerland,credit-suisse-economic-expectations switzerland,procurech-manufacturing-pmi switzerland,retail-sales-yy switzerland,snb-interest-rate-decision switzerland,EURCHF
2009-01,2.9,1.1,34.5,42.5,-30.6,-1.6,-9.1,-4.0,8.0,46.0,2.0,-30.8,2.0,3.0,-0.5,0.7,-0.7,0.4,1.235,-76.2,36.9,2.9,0.4166666666666667,1.4855999946594238
2008-12,6.1,2.1,34.5,42.0,-28.5,-1.9,-5.8,-1.3,7.85,46.0,2.75,-46.1,2.5,2.7,-0.7,1.5,-1.4,1.1,2.25,-88.5,35.2,6.4,0.5,1.465499997138977
2008-11,7.9,2.1,36.2,45.8,-26.4,-1.4,-2.7,-4.4,7.7,46.0,2.875,-48.5,3.25,2.5,0.5,2.6,-0.6,2.9,1.95,-91.1,47.0,0.0,1.0,1.5363999605178833
2008-10,8.5,3.2,41.3,46.9,-24.3,-1.8,-0.7,-5.7,7.6,46.0,3.0,-50.900000000000006,4.25,2.4,0.1,2.9,-0.5,3.7,1.44,-44.4,47.8,2.3,2.5,1.476199984550476
2008-09,9.0,3.6,47.6,48.2,-19.0,-1.8,-1.7,-6.7,7.5,46.0,3.125,-53.300000000000004,4.25,2.4,-0.3,2.9,-0.5,4.0,1.427,-79.6,52.5,0.7,2.75,1.580199956893921
2008-08,8.0,4.0,47.4,48.2,-19.0,-3.2,-0.8,-3.0,7.4,46.0,3.25,-55.7,4.25,2.3,-0.35,3.0,0.5,4.9,2.37,-76.9,54.1,7.4,2.75,1.613700032234192
2008-07,7.1,4.1,47.5,48.3,-20.0,0.2,-0.4,-1.5,7.3,46.0,3.230769230769231,-63.7,4.25,2.3,-0.4,3.1,0.6,4.5,2.41,-63.8,54.9,-9.4,2.75,1.6333999633789062
2008-06,6.1,3.7,49.1,49.5,-17.0,-3.0,4.0,1.4,7.25,46.0,3.2115384615384617,-53.650000000000006,4.0,2.4,0.8,2.9,1.2,3.9,1.87,-60.4,55.7,9.7,2.75,1.6080000400543213
2008-05,5.7,3.6,50.5,52.0,-15.0,-1.6,1.6,-1.1,7.2,46.0,3.1923076923076925,-43.6,4.0,2.6,0.8,2.3,0.7,3.6,1.53,-71.4,56.7,3.3,2.75,1.6247999668121338
2008-04,5.3,3.3,50.8,51.6,-12.0,1.0,3.1,1.6,7.1,46.0,3.173076923076923,-44.8,4.0,2.6,0.3,2.6,0.6,3.9,1.27,-71.7,55.3,1.3,2.75,1.6169999837875366
2008-03,5.0,3.5,52.3,51.7,-12.0,0.2,3.3,-1.0,7.1,46.0,3.1538461538461537,-35.0,4.0,2.7,0.1,2.4,0.2,3.6,1.55,-71.7,60.5,1.2,2.75,1.5676000118255615
2008-02,4.3,3.2,52.3,51.0,-12.0,-1.8,1.7,-1.8,7.1,46.0,3.1346153846153846,-41.4,4.0,2.8,-0.3,2.4,0.5,3.7,1.06,-71.7,60.5,2.9,2.75,1.5801000595092773
2008-01,4.2,3.2,52.6,52.0,-9.0,-1.2,3.1,2.0,7.2,46.0,3.1153846153846154,-41.7,4.0,2.8,0.2,2.0,-0.1,2.7,0.198,-71.7,60.5,2.2,2.75,1.6066999435424805
2007-12,3.3,3.1,52.5,53.2,-8.5,0.4,4.1,3.0,7.2,46.0,3.0961538461538463,-35.7,4.0,2.7,0.2,2.0,0.3,3.0,1.89,-71.7,60.5,7.1,2.75,1.6536999940872192
2007-11,2.7,2.6,52.6,55.8,-8.0,1.6,3.3,3.6,7.25,46.0,3.076923076923077,-30.0,4.0,2.6,0.2,2.0,0.2,2.7,1.4,-71.7,60.5,3.8,2.75,1.6563999652862549
2007-10,1.8,2.1,51.5,55.6,-6.0,0.8,4.5,4.5,7.3,46.0,3.0576923076923075,-19.0,4.0,2.5,0.2,2.0,-0.3,2.4,1.79,-71.7,60.5,3.3,2.75,1.6775000095367432
2007-09,1.8,1.7,54.3,54.0,-6.0,1.3,3.9,0.8,7.35,46.0,3.0384615384615383,-20.3,4.0,2.6,0.2,2.0,0.3,2.7,0.59,-71.7,60.5,1.0,2.75,1.659000039100647
2007-08,2.3,1.8,54.2,57.9,-4.0,1.0,2.4,4.4,7.4,46.0,3.019230769230769,-20.3,4.0,2.5,0.2,2.0,0.1,2.8,1.57,-71.7,60.5,7.2,2.6666666666666665,1.6449999809265137
2007-07,2.4,1.8,54.8,58.1,-2.0,0.1,2.5,3.9,7.5,46.0,3.0,-20.3,4.0,2.5,0.2,2.0,0.0,2.8,1.65,-71.7,60.5,7.2,2.5833333333333335,1.642199993133545
2007-06,2.4,1.85,55.4,58.3,-2.0,1.5,2.8,2.3,7.5,46.0,3.0,-20.3,4.0,2.7,0.2,2.0,0.0,2.8,1.04,-71.7,60.5,7.2,2.5,1.6532000303268433
2007-05,2.55,1.9,55.0,58.3,-1.0,2.6,4.0,7.6,7.6,46.0,3.0,-20.3,3.75,2.7,0.2,2.0,0.0,2.8,0.63,-71.7,60.5,7.2,2.4166666666666665,1.6482199430465698
2007-04,2.7,1.9,55.4,58.3,-4.0,1.2,4.05,5.266666666666667,7.6,46.0,3.0,-20.3,3.75,2.7,0.2,2.0,0.0,2.8,0.72,-71.7,60.5,7.2,2.3333333333333335,1.6469000577926636
2007-03,2.9,1.9,55.6,58.3,-4.0,1.1,4.1,2.9333333333333336,7.6,46.0,3.0,-20.3,3.75,2.7,0.2,2.0,0.0,2.8,1.38,-71.7,60.5,7.2,2.25,1.6232000589370728
