Date,producer-price-index-yy european-union,consumer-price-index-yy european-union,markit-manufacturing-pmi european-union,markit-services-pmi european-union,consumer-confidence-indicator european-union,retail-sales-yy european-union,industrial-production-yy european-union,trade-balance european-union,construction-output-yy european-union,unemployment-rate european-union,markit-composite-pmi european-union,ecb-deposit-rate-decision european-union,zew-indicator-of-economic-sentiment european-union,ecb-interest-rate-decision european-union,average-weekly-earnings-regular-pay united-kingdom,average-weekly-earnings-total-pay united-kingdom,claimant-count-change united-kingdom,unemployment-rate united-kingdom,cpi-yy united-kingdom,core-cpi-mm united-kingdom,core-cpi-yy united-kingdom,ppi-input-mm united-kingdom,ppi-input-yy united-kingdom,ppi-output-mm united-kingdom,ppi-output-yy united-kingdom,rpi-mm united-kingdom,rpi-yy united-kingdom,boe-interest-rate-decision UK,snb-interest-rate-decision Switzerland,EURGBP
2011-04,5.9,2.4,57.7,56.9,-10.6,0.4,6.3,-3.7,-4.5,10.0,46.0,0.5,31.0,1.0,2.3,2.3,-10.2,8.0,4.4,0.8,3.4,1.4,14.9,0.5,5.3,1.0,5.5,0.5,0.25,0.8787000179290771
2011-03,5.3,2.3,57.3,57.2,-10.0,-0.4,8.8,-1.8,-12.0,10.0,46.0,0.5,29.5,1.0,2.3,1.8,1.5,7.9,4.0,-0.4,3.0,2.3,14.1,1.1,5.0,0.3,5.1,0.5,0.25,0.8531000018119812
2011-02,4.5,2.4,57.1,55.2,-11.2,1.0,7.9,-2.8,-6.8,10.0,46.0,0.5,25.4,1.0,2.3,2.1,-3.4,7.9,3.7,0.7,2.9,3.9,12.9,0.4,4.1,0.7,4.8,0.5,0.25,0.857200026512146
2011-01,4.3,1.9,56.8,53.7,-11.0,0.9,7.1,3.5,-6.2,10.0,46.0,0.5,15.5,1.0,2.3,2.1,-3.2,7.9,3.3,0.2,2.7,0.9,9.2,0.4,4.1,0.4,4.7,0.5,0.25,0.8614000082015991
2010-12,4.3,1.9,55.5,55.2,-9.4,1.4,5.5,2.0,-7.7,10.1,46.0,0.5,13.8,1.0,2.2,2.1,-5.2,7.8,3.2,0.1,2.7,2.2,8.2,0.6,4.0,0.2,4.5,0.5,0.25,0.8424999713897705
2010-11,3.6,1.9,54.1,53.2,-11.0,1.5,8.5,-1.7,-8.8,10.0,46.0,0.5,1.8,1.0,2.0,1.7,1.3,7.7,3.1,0.0,2.7,0.4,8.7,0.0,3.8,0.4,4.6,0.5,0.25,0.873199999332428
2010-10,4.0,1.6,53.6,55.9,-11.0,1.4,7.3,-0.2,-7.9,10.0,46.0,0.5,4.4,1.0,1.6,1.3,3.8,7.8,3.1,0.7,2.8,0.1,8.7,0.0,4.7,0.4,4.7,0.5,0.25,0.862559974193573
2010-09,3.0,1.6,55.0,55.8,-11.4,1.4,8.2,-1.4,1.9,10.0,46.0,0.5,15.8,1.0,1.3,0.8,-1.0,7.8,3.1,-0.4,2.6,-1.0,10.8,0.1,5.0,-0.2,4.8,0.5,0.25,0.8187000155448914
2010-08,3.1,1.7,55.6,56.0,-14.0,0.9,9.8,-3.0,-7.2,10.0,46.0,0.5,10.7,1.0,1.6,2.7,-15.9,7.8,3.2,0.3,3.1,-0.3,10.7,-0.3,5.1,0.2,5.0,0.5,0.25,0.8302000164985657
2010-07,2.8,1.4,55.6,55.4,-17.3,-0.3,9.1,1.4,-6.7,10.0,46.0,0.5,18.8,1.0,1.7,4.2,-31.1,8.0,3.4,0.3,2.9,-0.2,11.5,0.1,5.5,0.4,5.1,0.5,0.25,0.8181999921798706
2010-06,0.9,1.6,55.9,56.0,-18.0,1.8,7.7,0.0,-4.9,10.0,46.0,0.5,37.6,1.0,1.8,4.2,-32.0,8.0,3.7,0.4,3.1,0.6,13.1,1.6,5.9,1.0,5.3,0.5,0.25,0.8460000157356262
2010-05,-0.4,1.4,57.5,55.5,-15.0,0.4,4.2,3.4,-15.0,10.0,46.0,0.5,46.0,1.0,1.6,2.3,-32.7,8.0,3.4,0.5,3.0,3.8,10.3,0.9,5.0,0.7,4.4,0.5,0.25,0.8690000176429749
2010-04,-1.0,1.5,56.3,51.8,-17.3,-0.6,1.9,1.9,-10.6,10.0,46.0,0.5,37.9,1.0,1.4,0.8,-40.1,7.8,3.0,0.4,2.9,0.1,6.9,0.3,4.1,0.6,3.7,0.5,0.25,0.8895000219345093
2010-03,-2.9,1.0,52.4,52.0,-17.4,-0.1,-3.7,5.2,-3.1,10.0,46.0,0.5,40.2,1.0,1.1,0.6,16.2,7.8,3.5,-0.6,3.1,2.0,8.4,0.4,3.8,0.0,3.7,0.5,0.25,0.8981999754905701
2010-02,-4.4,1.0,51.6,52.3,-15.8,-2.4,-6.9,4.0,-8.0,9.9,46.0,0.5,46.4,1.0,1.1,0.6,-18.8,7.8,2.9,0.6,2.8,0.6,7.4,0.5,3.5,0.6,2.4,0.5,0.25,0.868399977684021
2010-01,-6.6,0.5,51.6,53.7,-15.8,-1.3,-11.1,4.7,-7.7,9.9,46.0,0.5,48.0,1.0,1.2,0.5,-8.4,7.9,1.9,0.2,1.9,0.1,4.0,0.2,2.9,0.3,0.3,0.5,0.25,0.8859000205993652
2009-12,-7.7,-0.1,51.0,53.2,-17.3,-3.1,-12.8,4.3,-8.1,9.9,46.0,0.5,51.8,1.0,1.7,0.7,10.6,7.8,1.5,0.1,1.8,2.6,0.1,0.2,1.9,0.3,-0.8,0.5,0.25,0.9135000109672546
2009-11,-7.5,-0.1,50.7,52.3,-17.7,-2.3,-15.1,2.2,-8.1,9.8,46.0,0.5,56.9,1.0,1.9,0.7,15.4,7.9,1.1,0.1,1.7,-0.5,-6.5,0.5,0.4,0.4,-1.4,0.5,0.25,0.8956000208854675
2009-10,-8.5,-0.3,49.0,49.9,-19.1,-1.7,-15.9,6.0,-11.3,9.6,46.0,0.5,59.6,1.0,2.2,0.7,20.2,7.9,1.6,0.6,1.8,2.0,-7.5,0.3,-0.4,0.5,-1.3,0.5,0.25,0.9156000018119812
2009-09,-6.6,-0.2,46.3,49.5,-22.1,-2.3,-16.8,2.3,-7.8,9.6,46.0,0.5,54.9,1.0,2.5,1.1,21.4,7.8,1.8,0.0,1.8,-1.4,-12.2,0.3,-1.3,0.0,-1.4,0.5,0.25,0.880299985408783
2009-08,-6.0,-0.6,46.0,45.6,-23.1,-3.6,-17.8,1.1,-7.6,9.5,46.0,0.5,39.5,1.0,2.6,2.3,20.9,7.6,1.8,0.2,1.6,1.5,-11.0,-0.2,-1.2,0.3,-1.6,0.5,0.25,0.8532999753952026
2009-07,-4.8,-0.1,42.4,44.5,-25.2,-2.5,-21.3,0.7,-5.0,9.3,46.0,0.5,42.7,1.0,2.7,0.4,33.7,7.2,2.2,0.4,1.6,0.4,-9.4,0.4,-0.3,0.6,-1.1,0.5,0.25,0.8525000214576721
2009-06,-3.3,0.6,40.5,44.7,-28.3,-3.1,-19.2,-1.8,-8.3,9.3,46.0,0.25,28.5,1.0,3.0,-1.8,51.9,7.1,2.3,0.4,1.5,-1.0,-5.0,0.6,1.2,0.1,-1.2,0.5,0.25,0.8726000189781189
2009-05,-1.4,0.6,36.7,40.9,-30.6,-5.1,-17.4,-2.9,-12.5,9.2,46.0,0.25,11.8,1.25,3.2,-2.7,65.5,6.7,2.9,0.4,1.7,1.3,-0.4,0.1,2.0,0.0,-0.4,0.5,0.25,0.8948000073432922
2009-04,-0.9,0.6,33.5,40.1,-34.2,-2.5,-16.8,-5.4,-10.8,9.2,46.0,0.5,-6.5,1.5,3.5,-1.7,141.9,6.5,3.2,0.7,1.6,0.6,0.5,0.1,3.1,0.6,0.0,0.5,0.25,0.92330002784729
2009-03,1.1,1.1,33.6,38.9,-32.9,-1.8,-12.5,-1.7,-13.0,8.6,46.0,0.5,-8.7,2.0,3.6,1.0,62.8,6.3,3.0,-0.8,1.3,1.5,2.3,0.1,3.5,-1.3,0.1,1.0,0.5,0.8866999745368958
2009-02,2.9,1.1,34.5,42.5,-30.6,-1.6,-9.1,-4.0,-5.1,8.0,46.0,1.0,-30.8,2.0,3.6,2.5,80.8,6.1,3.1,-0.3,1.1,-2.0,4.3,0.0,4.7,-1.4,0.9,1.5,0.5,0.8881999850273132
2009-01,6.1,2.1,34.5,42.0,-30.6,-1.9,-5.8,-1.3,-4.3,8.0,46.0,2.0,-46.1,2.5,3.6,2.8,90.3,6.0,4.1,0.1,2.0,-3.3,7.5,-0.7,5.1,-0.8,3.0,2.0,0.5,0.9447000026702881
2008-12,7.9,2.1,36.2,45.8,-26.4,-1.4,-2.7,-4.4,-3.8,7.7,46.0,2.75,-46.1,3.25,3.6,3.1,44.6,5.8,4.5,0.0,1.9,-4.3,15.4,-1.0,6.7,-0.3,4.2,3.0,1.0,0.8256000280380249
2008-11,8.5,3.2,41.3,46.9,-24.3,-1.8,-0.7,-5.7,-2.5,7.6,46.0,2.75,-46.1,4.25,3.6,3.4,45.7,5.7,5.2,0.2,2.2,-1.2,24.5,-0.3,8.5,0.6,5.0,4.5,2.5,0.7921000123023987
2008-10,9.0,3.6,47.6,48.2,-19.0,-1.8,-1.7,-6.7,-3.3,7.6,46.0,2.75,-46.1,4.25,3.7,3.7,32.0,5.5,4.7,0.6,2.0,-2.0,26.2,-0.6,9.7,0.3,4.8,5.0,2.75,0.7908999919891357
2008-09,8.0,4.0,47.4,48.2,-19.0,-3.2,-0.8,-3.0,-2.4,7.4,46.0,2.75,-55.7,4.25,3.7,3.4,20.1,5.4,4.4,-0.2,1.9,-0.6,30.1,0.4,10.2,-0.1,5.0,5.0,2.75,0.8113999962806702
2008-08,7.1,4.1,47.5,48.3,-20.0,0.2,-0.4,-1.5,-1.1,7.3,46.0,3.25,-63.7,4.25,3.8,3.8,15.0,5.2,3.8,0.3,1.6,2.1,30.0,0.9,10.0,0.8,4.6,5.0,2.75,0.7861999869346619
2008-07,6.1,3.7,49.1,49.5,-17.0,-3.0,4.0,1.4,-1.7,7.3,46.0,3.25,-63.7,4.0,3.9,3.8,9.0,5.3,3.3,0.3,1.5,3.8,27.9,1.6,8.9,0.5,4.3,5.0,2.75,0.7900999784469604
2008-06,5.7,3.6,50.5,52.0,-15.0,-1.6,1.6,-1.1,-1.4,7.2,46.0,3.25,-43.6,4.0,3.8,4.0,7.2,5.2,3.0,0.5,1.4,2.4,23.3,1.4,7.6,0.9,4.2,5.0,2.75,0.7842000126838684
2008-05,5.3,3.3,50.8,51.6,-12.0,1.0,3.1,1.6,4.4,7.1,46.0,3.25,-44.8,4.0,3.8,3.7,-1.2,5.2,2.5,0.4,1.2,1.7,20.1,1.1,6.5,0.3,3.8,5.0,2.75,0.7858999967575073
2008-04,5.0,3.5,52.3,51.7,-12.0,0.2,3.3,-1.0,1.6,7.1,46.0,3.25,-35.0,4.0,3.7,3.9,0.6,5.3,2.5,0.3,1.2,1.9,19.3,0.5,5.7,0.8,4.1,5.25,2.75,0.7940999865531921
2008-03,4.3,3.2,52.3,51.0,-12.0,-1.8,1.7,-1.8,-3.2,7.1,46.0,3.25,-41.4,4.0,3.7,3.8,-10.8,5.2,2.2,-1.0,1.3,2.7,19.1,1.0,5.7,-0.5,4.1,5.25,2.75,0.7634999752044678
2008-02,4.2,3.2,52.6,52.0,-9.0,-1.2,3.1,2.0,-1.1,7.2,46.0,3.25,-41.7,4.0,3.6,4.0,-6.4,5.4,2.1,0.6,1.4,1.6,12.2,0.4,5.0,0.6,4.0,5.5,2.75,0.746720016002655
2008-01,3.3,3.1,52.5,53.2,-9.0,0.4,4.1,3.0,3.5,7.2,46.0,3.25,-35.7,4.0,3.6,4.0,-11.1,5.3,2.1,0.0,1.4,2.2,10.9,0.6,4.7,0.4,4.3,5.5,2.75,0.7353000044822693
2007-12,2.7,2.6,52.6,55.8,-8.0,1.6,3.3,3.6,0.9,7.2,46.0,3.25,-30.0,4.0,3.7,4.1,10.6,5.4,2.1,0.3,1.5,2.2,8.5,0.6,3.9,0.4,4.2,5.75,2.75,0.7121999859809875
2007-11,1.8,2.1,51.5,55.6,-6.0,0.8,4.5,4.5,0.9,7.3,46.0,3.25,-19.0,4.0,3.7,3.7,-12.8,5.4,1.8,0.0,1.5,3.9,6.5,0.3,2.8,0.3,3.9,5.75,2.75,0.6955000162124634
2007-10,1.8,1.7,54.3,54.0,-6.0,1.3,3.9,0.8,0.9,7.3,46.0,3.25,-20.3,4.0,3.5,3.5,-4.2,5.4,1.8,0.4,1.8,-1.4,0.7,0.1,2.5,0.6,4.1,5.75,2.75,0.6973999738693237
2007-09,2.3,1.8,54.2,57.9,-4.0,1.0,2.4,4.4,0.9,7.4,46.0,3.25,-20.3,4.0,3.4,3.4,-6.7,5.4,1.9,-0.5,1.7,-0.8,-0.3,0.3,2.5,-0.6,3.8,5.75,2.5,0.6761000156402588
2007-08,2.4,1.8,54.8,58.1,-2.0,0.1,2.5,3.9,0.9,7.5,46.0,3.25,-20.3,4.0,3.5,3.5,-6.7,5.4,2.4,0.2,1.7,0.6,2.1,0.3,2.5,0.5,4.4,5.75,2.5,0.6736999750137329
2007-07,2.4,1.8,55.4,58.3,-2.0,1.5,2.8,2.3,0.9,7.5,46.0,3.0,-20.3,4.0,3.6,4.1,-6.7,5.4,2.5,0.2,1.7,1.4,1.2,0.4,2.5,0.4,4.3,5.5,2.5,0.673799991607666
2007-06,2.4,1.9,55.0,58.3,-1.0,2.6,4.0,7.6,0.9,7.6,46.0,3.0,-20.3,3.75,3.7,4.4,-6.7,5.4,2.8,0.2,1.7,0.7,-0.3,0.5,2.5,0.5,4.5,5.5,2.5,0.6795200109481812
2007-05,2.4,1.9,55.0,58.3,-1.0,2.6,4.0,7.6,0.9,7.6,46.0,3.0,-20.3,3.75,3.7,4.4,-6.7,5.4,2.8,0.2,1.7,0.7,-0.3,0.5,2.5,0.5,4.5,5.5,2.5,0.6795200109481812
