Date,producer-price-index-yy european-union,consumer-price-index-yy european-union,markit-manufacturing-pmi european-union,markit-services-pmi european-union,consumer-confidence-indicator european-union,retail-sales-yy european-union,industrial-production-yy european-union,trade-balance european-union,unemployment-rate european-union,ecb-deposit-rate-decision european-union,zew-indicator-of-economic-sentiment european-union,ecb-interest-rate-decision european-union,anz-job-advertisements-mm australia,employment-change australia,full-employment-change australia,unemployment-rate australia,rba-private-sector-credit-mm australia,trade-balance australia,aig-construction-index australia,aig-services-index australia,building-approvals-mm australia,nab-business-conditions australia,retail-sales-mm australia,westpac-mi-consumer-sentiment-mm australia,home-loans-mm australia,EURAUD
2009-07,-6.0,-0.6,46.0,45.6,-23.1,-3.6,-17.8,1.1,9.5,0.2608695652173913,39.5,1.0,-6.7,-21.4,-19.5,5.8,-0.1,-0.56,42.6,50.2,-10.0,-2.0,0.3,9.3,0.8,1.7063000202178955
2009-06,-4.8,-0.1,42.4,44.5,-25.2,-2.5,-21.3,0.7,9.3,0.25,42.7,1.0,-0.2,-1.7,-45.6,5.8,0.1,-0.09,46.9,39.9,9.9,-14.0,2.2,12.7,1.7,1.7410999536514282
2009-05,-3.3,0.6,40.5,44.7,-28.3,-3.1,-19.2,-1.8,9.25,0.25,28.5,1.0,-7.5,27.3,39.9,5.4,0.1,2.5,36.5,39.8,2.1,-10.0,-2.0,-4.3,5.0,1.7626999616622925
2009-04,-1.4,0.6,36.7,40.9,-30.6,-5.1,-17.4,-2.9,9.2,0.5,11.8,1.25,-8.5,-34.7,-36.3,5.7,0.0,2.11,30.4,35.6,10.1,-17.0,0.2,8.3,3.0,1.8206000328063965
2009-03,-0.9,0.6,33.5,40.1,-34.2,-2.5,-16.8,-5.4,8.899999999999999,0.75,-6.5,1.5,-10.4,1.8,-59.0,5.4,0.6,0.97,29.5,32.2,-3.0,-20.0,3.8,-0.2,5.8,1.9143999814987183
2009-02,1.1,1.1,33.6,38.9,-32.9,-1.8,-12.5,-1.7,8.6,1.0,-8.7,2.0,-6.3,1.2,58.4,4.9,-0.2,0.59,34.1,41.0,-5.8,-11.0,0.1,-4.6,6.3,1.9744000434875488
2009-01,2.9,1.1,34.5,42.5,-30.6,-1.6,-9.1,-4.0,8.0,2.0,-30.8,2.0,-6.3,-1.2,-38.4,4.6,0.4,1.45,30.9,39.3,-10.2,-6.0,0.2,-2.2,3.0,2.0137999057769775
2008-12,6.1,2.1,34.5,42.0,-28.5,-1.9,-5.8,-1.3,7.85,2.75,-46.1,2.5,-6.3,0.0,-10.2,4.5,0.6,2.95,32.0,37.8,-5.4,-17.0,0.2,7.5,3.3,1.9816999435424805
2008-11,7.9,2.1,36.2,45.8,-26.4,-1.4,-2.7,-4.4,7.7,2.875,-48.5,3.25,-6.3,34.3,-8.2,4.4,0.7,1.46,36.4,42.1,-7.2,-11.0,0.25,4.3,-1.7,1.9444999694824219
2008-10,8.5,3.2,41.3,46.9,-24.3,-1.8,-0.7,-5.7,7.6,3.0,-50.900000000000006,4.25,-6.3,2.2,-31.2,4.3,0.5,1.36,31.8,44.9,-5.45,-8.0,0.3,-11.0,-2.3,1.8984999656677246
2008-09,9.0,3.6,47.6,48.2,-19.0,-1.8,-1.7,-6.7,7.5,3.125,-53.300000000000004,4.25,-6.3,14.6,8.1,4.1,0.5,-0.7,43.1,39.3,-3.7,-7.0,-0.35,7.0,-0.2,1.7782000303268433
2008-08,8.0,4.0,47.4,48.2,-19.0,-3.2,-0.8,-3.0,7.4,3.25,-55.7,4.25,-6.3,10.9,66.4,4.2,0.4,-0.15000000000000002,41.7,42.8,-5.1,-5.0,-1.0,9.1,-3.7,1.7146999835968018
2008-07,7.1,4.1,47.5,48.3,-20.0,0.2,-0.4,-1.5,7.3,3.230769230769231,-63.7,4.25,-6.3,29.8,37.8,4.2,0.6,0.4,40.3,45.4,-6.5,0.0,-0.2,-6.7,-7.9,1.6576000452041626
2008-06,6.1,3.7,49.1,49.5,-17.0,-3.0,4.0,1.4,7.25,3.2115384615384617,-53.650000000000006,4.0,-6.3,-19.7,1.4,4.3,0.4,-1.0,36.9,49.7,5.4,-4.0,0.5,-5.6,-3.0,1.6435999870300293
2008-05,5.7,3.6,50.5,52.0,-15.0,-1.6,1.6,-1.1,7.2,3.1923076923076925,-43.6,4.0,-6.3,25.4,6.6,4.2,0.8,-2.74,42.6,47.3,-5.7,7.0,-0.1,2.7,-6.1,1.6283999681472778
2008-04,5.3,3.3,50.8,51.6,-12.0,1.0,3.1,1.6,7.1,3.173076923076923,-44.8,4.0,-6.3,14.8,-1.6,4.0,0.7,-3.3,48.4,53.8,-0.8,-4.0,0.0,-1.3,-5.9,1.6552000045776367
2008-03,5.0,3.5,52.3,51.7,-12.0,0.2,3.3,-1.0,7.1,3.1538461538461537,-35.0,4.0,-6.3,36.7,47.6,4.0,0.7,-2.7,53.9,53.2,1.9,-2.0,0.0,-9.1,3.1,1.7244999408721924
2008-02,4.3,3.2,52.3,51.0,-12.0,-1.8,1.7,-1.8,7.1,3.1346153846153846,-41.4,4.0,-6.3,36.7,47.6,4.2,0.7,-2.7,53.9,53.2,-16.0,-4.0,0.0,-5.5,0.1,1.6339000463485718
2008-01,4.2,3.2,52.6,52.0,-9.0,-1.2,3.1,2.0,7.2,3.1153846153846154,-41.7,4.0,-6.3,36.7,47.6,4.3,0.7,-2.7,53.9,53.2,8.9,5.0,0.0,-5.5,4.0,1.6592999696731567
2007-12,3.3,3.1,52.5,53.2,-8.5,0.4,4.1,3.0,7.2,3.0961538461538463,-35.7,4.0,-6.3,36.7,47.6,4.5,0.7,-2.7,53.9,53.2,-2.8,15.0,0.0,-5.5,-0.7,1.6704000234603882
2007-11,2.7,2.6,52.6,55.8,-8.0,1.6,3.3,3.6,7.25,3.076923076923077,-30.0,4.0,-6.3,36.7,47.6,4.4,0.7,-2.7,53.9,53.2,2.0,20.0,0.0,-5.5,-2.4,1.6603000164031982
2007-10,1.8,2.1,51.5,55.6,-6.0,0.8,4.5,4.5,7.3,3.0576923076923075,-19.0,4.0,-6.3,36.7,47.6,4.2,0.7,-2.7,53.9,53.2,6.8,16.0,0.0,-5.5,-2.4,1.5530999898910522
2007-09,1.8,1.7,54.3,54.0,-6.0,1.3,3.9,0.8,7.35,3.0384615384615383,-20.3,4.0,-6.3,36.7,47.6,4.3,0.7,-2.7,53.9,53.2,6.8,19.0,0.0,-5.5,-2.4,1.6064000129699707
2007-08,2.3,1.8,54.2,57.9,-4.0,1.0,2.4,4.4,7.4,3.019230769230769,-20.3,4.0,-6.3,36.7,47.6,4.3,0.7,-2.7,53.9,53.2,6.8,20.0,0.0,-5.5,-2.4,1.6710000038146973
2007-07,2.4,1.8,54.8,58.1,-2.0,0.1,2.5,3.9,7.5,3.0,-20.3,4.0,-6.3,36.7,47.6,4.3,0.7,-2.7,53.9,53.2,6.8,20.0,0.0,-5.5,-2.4,1.6049000024795532
2007-06,2.4,1.85,55.4,58.3,-2.0,1.5,2.8,2.3,7.5,3.0,-20.3,4.0,-6.3,36.7,47.6,4.3,0.7,-2.7,53.9,53.2,6.8,20.0,0.0,-5.5,-2.4,1.5959999561309814
2007-05,2.55,1.9,55.0,58.3,-1.0,2.6,4.0,7.6,7.6,3.0,-20.3,3.75,-6.3,36.7,47.6,4.4,0.7,-2.7,53.9,53.2,6.8,20.0,0.0,-5.5,-2.4,1.623900055885315
