Date,producer-price-index-yy european-union,consumer-price-index-yy european-union,markit-manufacturing-pmi european-union,markit-services-pmi european-union,consumer-confidence-indicator european-union,retail-sales-yy european-union,industrial-production-yy european-union,trade-balance european-union,unemployment-rate european-union,ecb-deposit-rate-decision european-union,zew-indicator-of-economic-sentiment european-union,ecb-interest-rate-decision european-union,labor-cash-earnings-yy japan,unemployment-rate japan,domestic-corporate-goods-price-index-mm japan,domestic-corporate-goods-price-index-yy japan,corporate-service-price-yy japan,national-consumer-price-index-yy japan,national-consumer-price-index-ex-fresh-food-yy japan,tokyo-consumer-price-index-yy japan,tokyo-consumer-price-index-ex-fresh-food-yy japan,m2-money-stock-yy japan,monetary-base-yy japan,adjusted-trade-balance japan,current-account-nsa japan,balance-of-payments japan,trade-balance japan,all-industry-activity-index-mm japan,capacity-utilization japan,tertiary-industry-activity-index-mm japan,household-spending-yy japan,large-retailers-sales-yy japan,retail-sales-mm japan,EURJPY
2022-08,35.8,8.9,49.7,50.2,-24.9,-3.7,2.4,-30.8,6.6,0.0,-54.9,0.5,2.2,2.6,0.4,8.6,2.1,2.6,2.4,2.9,2.6,3.4,2.8,-2133.3,-132.4,-1114.0,-1436.8,1.3,9.6,-0.2,3.5,1.3,-1.4,137.2519989013672
2022-07,36.3,8.6,49.6,50.6,-27.0,0.2,1.6,-26.0,6.699999999999999,-0.5,-51.1,0.5,1.0,2.6,0.7,9.2,2.0,2.4,2.2,2.5,2.3,3.3,3.9,-1928.9,128.4,-1951.2,-1383.8,1.3,-9.2,0.8,-0.5,8.5,0.6,136.2069854736328
2022-06,37.2,8.1,52.0,52.8,-23.6,3.9,-2.0,-31.7,6.8,-0.5,-28.0,0.0,1.7,2.5,0.0,9.1,1.8,2.5,2.1,2.3,2.1,3.2,4.6,-1931.4,501.1,-688.4,-2384.7,1.3,0.0,0.7,-1.7,4.0,0.8,142.677001953125
2022-05,36.8,8.1,54.4,56.3,-21.1,0.8,-0.8,-17.6,6.8,-0.5,-29.5,0.0,1.2,2.6,1.2,10.0,1.7,2.5,2.1,2.4,1.9,3.6,6.6,-1618.9,2549.3,-166.1,-839.2,1.3,-1.6,1.3,-2.3,1.5,2.0,137.66000366210938
2022-04,31.4,7.5,55.3,57.7,-16.9,5.0,2.0,-9.4,6.8,-0.5,-43.0,0.0,1.2,2.7,0.8,9.5,1.3,1.2,0.8,1.85,1.35,3.5,7.9,-899.8,1648.3,-176.8,-412.4,1.3,1.5,-1.3,1.1,0.1,-0.8,136.916748046875
2022-03,30.6,5.9,57.0,55.5,-18.7,7.8,-1.3,-7.7,6.8,-0.5,-38.7,0.0,0.9,2.7,0.8,9.3,1.1,0.9,0.6,1.3,0.8,3.6,7.6,-1031.4,-1188.7,-1604.3,-668.3,1.3,-3.2,-0.7,6.9,2.6,-1.9,136.18699645996094
2022-02,26.2,5.1,58.7,51.1,-8.8,2.0,1.6,-9.7,7.0,-0.5,48.6,0.0,-0.2,2.7,0.6,8.6,1.2,0.5,0.2,1.0,0.5,3.6,8.4,-932.6,-370.8,-318.7,-2191.1,1.3,-0.4,0.4,-0.2,1.4,-1.0,129.218994140625
2022-01,23.7,5.0,58.0,51.2,-8.3,7.8,-1.5,-1.3,7.2,-0.5,49.4,0.0,0.0,2.8,-0.2,8.5,1.1,0.8,0.5,0.5,0.2,3.7,8.3,-435.3,897.3,-431.3,-582.4,1.3,8.0,0.4,-1.3,1.4,1.2,128.53700256347656
2021-12,21.9,4.9,58.0,53.3,-8.3,1.4,3.3,2.4,7.3,-0.5,26.8,0.0,0.2,2.7,0.6,9.0,1.1,0.6,0.5,0.5,0.25,4.0,9.3,-486.8,1180.1,166.7,-954.8,1.3,6.2,1.5,-0.6,0.9,1.1,130.2760009765625
2021-11,16.0,4.9,58.6,56.6,-6.8,2.5,5.2,6.1,7.4,-0.5,25.9,0.0,0.2,2.8,1.2,8.0,1.0,0.1,0.1,0.5,0.3,4.2,9.9,-444.7,1033.7,-229.9,-67.4,1.3,-7.3,0.5,-1.9,-1.3,2.7,128.51300048828125
2021-10,13.4,4.1,58.5,54.7,-4.8,0.0,5.1,11.1,7.5,-0.5,21.0,0.0,0.7,2.8,0.3,6.3,0.9,0.2,0.1,0.3,0.1,4.2,11.7,-624.8,1665.6,-372.4,-622.8,1.3,-3.9,-1.7,-3.0,-4.7,-4.1,131.77667236328125
2021-09,12.1,3.0,58.7,59.0,-4.0,3.1,7.7,13.4,7.6,-0.5,31.1,0.0,1.0,2.8,0.0,5.5,1.0,-0.4,0.0,-0.050000000000000044,0.05,4.7,14.9,-271.8,1910.8,622.3,-635.4,1.3,-3.4,-0.6,0.7,1.3,1.1,129.86099243164062
2021-08,10.2,2.2,62.8,59.7,-5.3,5.0,9.7,12.4,7.65,-0.5,42.7,0.0,-0.1,2.9,1.1,5.6,1.1,0.2,0.4,-0.4,0.0,5.2,15.4,52.7,905.1,648.5,441.0,1.3,6.2,2.3,-5.1,-2.2,3.1,129.6909942626953
2021-07,9.6,1.9,62.6,60.4,-4.4,9.0,20.5,9.4,7.7,-0.5,61.2,0.0,1.9,3.0,0.6,5.0,1.4,0.2,0.2,-0.2,0.0,5.9,19.1,-90.2,1979.7,2.0,383.2,1.3,-6.8,-2.7,11.6,5.7,-0.4,130.16555786132812
2021-06,7.6,1.9,63.1,58.0,-3.3,23.9,39.3,9.4,8.0,-0.5,81.3,0.0,1.6,2.8,0.7,4.9,1.5,-0.1,0.1,0.0,0.0,7.9,22.4,43.1,1321.8,289.5,-187.1,1.3,1.1,-0.7,13.0,15.5,-4.5,131.54100036621094
2021-05,4.3,1.6,62.8,55.1,-5.1,12.0,10.9,13.0,8.05,-0.5,84.0,0.0,0.2,2.6,0.7,3.6,1.0,-0.4,-0.1,-0.4,-0.2,9.2,24.3,65.2,2650.1,983.1,255.3,1.3,5.6,1.1,6.2,3.0,1.2,133.96800231933594
2021-04,1.5,1.6,63.3,50.3,-8.1,-2.9,-1.6,18.4,8.1,-0.5,66.3,0.0,-0.2,2.9,0.8,1.0,0.7,-0.2,-0.1,-0.6,-0.2,9.5,20.8,297.8,2916.9,524.2,663.7,1.3,-2.8,0.3,-6.6,-4.7,3.1,132.05099487304688
2021-03,0.0,0.9,62.4,45.7,-10.8,-6.4,0.1,24.2,8.1,-0.5,74.0,0.0,-0.8,2.9,0.4,-0.7,-0.1,-0.4,-0.4,-0.2,-0.1,9.6,19.6,-38.7,646.8,-130.1,217.4,1.3,4.7,-1.7,-6.1,-7.2,-0.5,129.30999755859375
2021-02,-1.1,0.9,54.8,44.7,-14.8,0.6,-0.8,27.5,8.3,-0.5,69.6,0.0,-3.2,2.9,0.4,-1.6,-0.5,-0.6,-0.6,-0.3,-0.3,9.4,18.9,392.8,1165.6,965.1,-323.9,1.3,0.8,-0.4,-0.6,-3.5,-0.8,128.66444396972656
2021-01,-1.9,-0.3,54.7,45.0,-15.5,-2.9,-0.6,25.1,8.3,-0.5,58.3,0.0,-2.2,2.9,0.5,-2.0,-0.4,-1.2,-1.0,-0.5,-0.4,9.2,18.3,477.1,1878.4,616.1,751.0,1.3,-2.9,-0.7,1.1,-3.4,-2.0,127.06748962402344
2020-12,-2.0,-0.3,55.5,47.3,-13.9,4.3,-3.8,25.9,8.4,-0.5,54.4,0.0,-0.8,3.1,0.0,-2.2,-0.6,-0.9,-0.9,-1.3,-0.9,9.1,16.5,570.2,2144.7,971.1,366.8,1.3,6.0,1.0,1.9,2.9,0.4,126.84100341796875
2020-11,-2.4,-0.3,53.6,41.3,-17.6,2.2,-6.8,24.0,8.25,-0.5,32.8,0.0,-0.9,3.0,-0.2,-2.1,-0.6,-0.4,-0.7,-0.7,-0.7,9.0,16.3,314.3,1660.2,918.4,872.9,1.3,6.4,1.8,-10.2,-13.9,-0.1,124.59200286865234
2020-10,-2.5,-0.3,54.4,48.0,-15.5,3.7,-7.2,21.9,8.1,-0.5,52.3,0.0,-1.3,2.95,-0.2,-0.8,1.3,0.0,-0.3,-0.3,-0.5,9.0,14.3,475.8,2102.8,413.2,675.0,1.3,2.9,0.8,-6.9,-3.2,4.6,122.16903686523438
2020-09,-3.3,-0.2,51.7,47.6,-13.9,0.4,-7.7,20.3,7.9,-0.5,73.9,0.0,-1.3,2.9,0.2,-0.5,1.0,0.2,-0.4,0.2,-0.2,8.6,11.5,350.6,1468.3,137.3,248.3,6.1,9.6,-0.5,-7.6,-4.2,-3.3,124.05000305175781
2020-08,-3.7,0.4,51.7,50.1,-14.7,1.3,-12.3,17.1,7.85,-0.5,64.0,0.0,-1.7,2.8,0.6,-0.9,1.2,0.3,0.0,0.3,-0.3,7.9,9.8,-34.8,167.5,-77.3,11.6,-3.5,6.2,7.9,-1.2,-3.5,13.1,125.77300262451172
2020-07,-5.0,0.4,51.1,55.1,-15.0,-5.1,-20.9,8.0,7.8,-0.5,59.6,0.0,-2.1,2.9,0.6,-1.6,0.8,0.1,0.0,0.3,-0.04999999999999999,7.2,6.0,-423.9,1176.8,-556.8,-268.8,-6.4,-11.6,-2.1,-16.2,-16.7,2.1,124.26000213623047
2020-06,-4.5,0.3,46.9,47.3,-14.7,-19.6,-28.0,1.2,7.3,-0.5,58.6,0.0,-0.6,2.6,-0.4,-2.7,0.8,0.1,-0.2,0.3,0.2,5.1,3.9,-601.0,262.7,-966.5,-833.4,-3.8,-13.3,-6.0,-11.1,-22.1,-9.6,121.00399780273438
2020-05,-2.8,0.1,39.5,12.0,-18.8,-9.2,-12.9,23.5,7.35,-0.5,46.0,0.0,0.1,2.5,-1.5,-2.3,1.0,0.1,-0.2,0.4,0.2,3.7,2.3,-996.3,1971.0,103.1,-930.4,-0.6,-3.6,-4.2,-6.0,-10.1,-4.5,119.67855834960938
2020-04,-1.3,0.4,44.5,11.7,-22.7,3.0,-1.9,25.8,7.4,-0.5,25.2,0.0,1.0,2.4,-0.9,-0.4,1.6,0.4,0.4,0.2,-0.1,3.3,2.8,-190.0,3168.8,1366.6,4.9,0.8,-1.8,-0.5,-0.3,0.2,0.6,115.95999908447266
2020-03,-0.5,1.2,44.8,28.4,-11.6,1.7,-1.9,17.3,7.4,-0.5,-49.5,0.0,1.5,2.4,-0.4,0.8,2.1,0.4,0.6,0.4,0.4,3.0,3.6,498.3,612.3,-985.1,1109.8,0.0,1.1,0.8,-3.9,-1.4,0.6,119.1500015258789
2020-02,-0.7,1.4,49.1,52.8,-6.6,1.3,-4.1,22.2,7.4,-0.5,10.4,0.0,0.0,2.2,0.2,1.7,2.3,0.7,0.8,0.4,0.5,2.8,2.9,-224.1,524.0,120.7,-1312.6,0.9,-0.4,-0.2,-4.8,-3.0,0.2,119.19287109375
2020-01,-1.4,1.4,47.8,52.2,-8.1,2.2,-1.5,19.2,7.4,-0.5,25.6,0.0,-0.2,2.2,0.1,0.9,2.1,0.8,0.7,0.6,0.7,2.7,3.2,-102.5,1436.8,-2.5,-152.5,-4.3,-0.3,1.3,-2.0,-1.8,4.5,120.06300354003906
2019-12,-1.9,1.0,45.9,52.4,-8.1,1.4,-2.2,24.5,7.45,-0.5,11.2,0.0,0.5,2.4,0.2,0.1,2.1,0.5,0.5,0.9,0.8,2.8,3.3,-60.8,1816.8,254.0,-82.1,1.5,-4.5,-4.6,-5.1,-8.2,-14.4,121.98999786376953
2019-11,-1.2,1.0,46.6,52.2,-7.2,3.1,-1.7,18.3,7.5,-0.5,-1.0,0.0,0.8,2.4,1.1,-0.4,2.1,0.2,0.4,0.8,0.6,2.5,3.1,-34.7,1612.9,1.1,17.3,0.0,1.0,1.8,9.5,10.0,7.1,120.60321044921875
2019-10,-0.8,0.8,45.7,51.6,-7.6,2.1,-2.8,20.3,7.5,-0.5,-23.5,0.0,-0.2,2.2,0.0,-1.1,0.5,0.2,0.3,0.4,0.5,2.4,3.0,-97.2,2157.7,50.9,-123.0,0.2,-2.9,0.4,1.0,0.4,4.8,121.3219985961914
2019-09,0.2,1.0,47.0,52.0,-6.5,2.2,-2.0,19.0,7.4,-0.45,-22.4,0.0,-0.3,2.2,-0.3,-0.9,0.6,0.3,0.5,0.4,0.5,2.4,2.8,-130.8,1999.9,-74.5,-136.3,-0.8,1.1,0.1,0.8,-4.8,-2.3,118.11000061035156
2019-08,0.7,1.0,47.0,53.4,-7.1,2.6,-2.6,17.9,7.5,-0.4,-43.6,0.0,0.4,2.3,0.0,-0.6,0.5,0.5,0.6,0.6,0.7,2.4,3.7,-126.8,1211.2,759.3,-249.6,0.3,-2.6,-0.1,2.7,-0.5,0.0,117.02999877929688
2019-07,1.6,1.1,46.4,53.3,-6.6,1.3,-0.5,20.2,7.5,-0.4,-20.3,0.0,-0.2,2.4,-0.5,-0.1,0.7,0.7,0.6,0.9,0.9,2.3,4.0,-14.4,1594.8,-650.9,589.5,0.9,1.7,-0.2,4.0,-0.5,0.3,121.1259994506836
2019-06,2.6,1.2,47.8,53.4,-7.2,1.5,-0.4,15.3,7.6,-0.4,-20.2,0.0,-0.1,2.4,-0.1,0.7,0.8,0.7,0.8,1.1,0.9,2.7,3.6,-609.1,1707.4,-98.2,-967.1,-0.4,1.6,0.8,1.3,-1.8,0.0,122.87999725341797
2019-05,2.9,1.7,47.7,52.8,-6.5,1.9,-0.6,17.9,7.65,-0.4,-1.6,0.0,-1.9,2.5,0.3,1.2,0.9,0.9,0.9,1.1,1.1,2.6,3.1,-110.9,2847.9,700.1,60.4,-0.2,-0.4,-0.4,2.1,0.6,0.2,121.71700286865234
2019-04,3.0,1.4,47.5,52.5,-7.9,2.8,-0.3,19.5,7.7,-0.4,4.5,0.0,-0.8,2.3,0.3,1.3,1.1,0.5,0.8,1.4,1.3,2.4,3.8,-177.8,2676.8,489.2,528.5,-0.2,1.0,-0.6,1.7,-1.8,0.2,124.97000122070312
2019-03,3.0,1.5,47.6,52.7,-7.2,2.2,-1.1,17.0,7.8,-0.4,-2.5,0.0,1.2,2.5,0.2,0.8,1.1,0.2,0.7,0.9,1.1,2.4,4.6,116.1,600.4,-964.8,339.0,-0.4,-4.7,0.4,2.0,-3.3,-2.3,124.5199966430664
2019-02,3.0,1.4,49.2,52.3,-7.4,0.8,-4.2,15.6,7.85,-0.4,-16.6,0.0,1.8,2.4,-0.6,0.6,1.1,0.2,0.8,0.6,1.1,2.4,4.7,-370.0,452.8,216.2,-1415.2,-0.3,-1.9,-0.3,0.1,-1.0,0.9,126.15599822998047
2019-01,4.0,1.6,50.5,50.8,-7.9,1.1,-3.3,15.1,7.9,-0.4,-20.9,0.0,2.0,2.5,-0.6,1.5,1.1,0.3,0.7,0.4,1.1,2.4,4.8,-183.6,757.2,-559.1,-55.3,1.9,1.0,-0.3,-0.6,-2.2,-1.0,125.16500091552734
2018-12,4.9,1.9,51.4,51.4,-6.2,1.7,1.2,12.5,8.0,-0.4,-21.0,0.0,1.5,2.4,-0.3,2.3,1.2,0.8,0.9,0.3,0.9,2.3,6.1,-492.2,1309.9,-321.7,-737.3,-0.9,4.0,1.9,-0.3,-0.8,1.2,126.2490005493164
2018-11,4.5,2.0,51.5,53.7,-3.9,0.8,0.9,13.4,8.1,-0.4,-22.0,0.0,1.1,2.3,0.3,2.9,1.3,1.4,1.0,0.8,1.0,2.7,5.9,-302.7,1821.6,323.3,-449.3,0.5,-1.5,-1.1,-1.6,0.4,-0.2,129.19200134277344
2018-10,4.2,2.1,53.2,54.7,-2.7,1.8,0.9,16.6,8.1,-0.4,-19.4,0.0,0.9,2.4,0.3,3.0,1.2,1.2,1.0,1.5,1.0,2.8,5.9,-238.9,1838.4,-219.3,139.6,0.0,2.2,0.5,2.8,-0.1,0.9,128.25
2018-09,4.0,2.1,53.3,54.7,-2.9,1.1,-0.1,12.8,8.149999999999999,-0.4,-7.2,0.0,1.5,2.5,0.0,3.0,1.3,1.3,0.9,1.3,1.0,2.9,6.9,-190.4,2009.7,-1.0,-444.6,-0.8,-0.6,0.1,0.1,-1.6,0.1,132.1199951171875
2018-08,3.6,2.0,54.6,54.4,-1.9,1.2,2.5,16.7,8.2,-0.4,-11.1,0.0,3.6,2.4,0.5,3.1,1.1,0.9,0.8,1.2,0.9,3.0,7.0,-45.6,1175.6,820.5,-231.2,0.1,-2.2,-0.5,-1.2,1.5,1.5,129.47300720214844
2018-07,3.0,2.1,55.1,54.4,-0.6,1.4,2.4,16.9,8.3,-0.4,-18.7,0.0,2.1,2.2,0.2,2.8,1.2,0.7,0.8,0.9,0.8,3.2,7.4,66.2,1938.3,-303.8,721.4,1.0,-2.1,0.1,-3.9,-2.0,-1.7,129.9429931640625
2018-06,2.0,2.0,55.0,55.0,-0.5,1.7,1.7,18.1,8.4,-0.4,-12.6,0.0,0.8,2.5,0.6,2.7,1.0,0.7,0.7,0.6,0.7,3.2,8.1,-296.8,1845.1,573.8,-578.3,0.0,1.8,1.0,-1.3,-0.8,1.4,129.60000610351562
2018-05,2.1,1.9,56.2,53.9,0.2,0.8,3.0,21.2,8.5,-0.4,2.4,0.0,2.1,2.5,0.1,2.0,0.9,0.6,0.7,0.4,0.5,3.3,7.8,550.0,3122.3,1190.7,626.0,0.4,0.5,-0.3,-0.2,0.1,-0.7,126.80999755859375
2018-04,1.6,1.4,56.0,54.9,0.4,1.8,2.9,21.0,8.5,-0.4,1.9,0.0,1.3,2.5,-0.1,2.1,0.5,1.1,0.9,0.5,0.6,3.2,9.1,119.2,2076.0,188.7,797.3,-1.8,1.3,0.0,0.1,0.6,0.4,132.2480010986328
2018-03,1.5,1.1,56.6,55.0,0.1,2.3,2.7,19.9,8.6,-0.4,13.4,0.0,0.7,2.65,0.0,2.5,0.6,1.5,1.0,1.0,0.8,3.3,9.4,-201.5,607.4,-666.6,3.4,0.5,-7.3,-0.6,2.0,0.5,-1.8,131.0399932861328
2018-02,2.2,1.2,58.5,56.7,0.1,1.9,5.2,23.8,8.649999999999999,-0.4,29.3,0.0,0.7,2.8,0.3,2.7,0.7,1.4,0.9,1.15,0.75,3.4,9.7,373.3,797.2,538.9,-943.4,1.0,2.8,-0.2,0.9500000000000001,1.1,0.9,131.3780059814453
2018-01,2.8,1.3,59.6,57.6,1.3,2.8,3.2,22.5,8.7,-0.4,31.8,0.0,0.9,2.7,0.2,3.1,0.8,1.0,0.9,1.3,0.7,3.6,11.2,86.8,1347.3,181.0,359.0,0.3,0.0,1.1,-0.1,1.4,1.9,134.92599487304688
2017-12,2.5,1.5,60.6,56.5,0.5,0.4,3.7,19.0,8.75,-0.4,29.0,0.0,0.6,2.8,0.4,3.5,0.8,0.6,0.9,1.0,0.8,4.0,13.2,364.1,2176.4,430.2,113.4,-0.5,0.2,0.3,1.7,-0.7,0.0,135.1999969482422
2017-11,2.9,1.5,58.5,55.0,0.1,3.7,3.3,25.0,8.8,-0.4,30.9,0.0,0.9,2.8,0.3,3.4,0.8,0.2,0.8,0.3,0.6,4.1,14.5,322.9,2271.2,852.2,285.4,0.1,-1.5,-0.2,0.0,1.9,0.8,132.73399353027344
2017-10,2.5,1.5,58.1,55.8,-1.0,1.2,3.8,21.6,9.1,-0.4,26.7,0.0,0.9,2.8,0.2,3.0,0.9,0.7,0.7,-0.2,0.6,4.1,15.6,240.3,2380.4,318.7,670.2,-0.1,3.3,-0.2,-0.3,0.6,-1.7,131.66700744628906
2017-09,2.0,1.5,58.2,55.6,-1.2,2.6,3.2,18.6,9.1,-0.4,31.7,0.0,-0.3,2.8,0.0,2.9,0.8,0.7,0.7,0.5,0.5,4.0,16.3,367.3,2320.0,566.6,113.6,0.4,-1.8,0.1,0.6,-0.2,1.1,132.60000610351562
2017-08,2.5,1.5,57.4,54.9,-1.5,3.1,2.6,22.3,9.1,-0.4,29.3,0.0,-0.4,2.8,0.3,2.6,0.6,0.4,0.5,0.5,0.4,4.0,15.6,337.4,934.6,518.5,418.8,-0.9,2.1,0.0,-0.2,0.2,0.2,131.30999755859375
2017-07,3.3,1.3,56.8,55.4,-1.7,2.6,4.0,19.7,9.1,-0.4,35.6,0.0,0.7,3.1,0.0,2.1,0.8,0.4,0.4,0.1,0.2,3.9,17.0,81.4,1653.9,-115.1,439.9,2.1,-4.1,-0.1,2.3,-0.6,-1.6,129.81100463867188
2017-06,4.3,1.3,57.3,54.7,-1.3,2.5,1.4,19.6,9.2,-0.4,37.7,0.0,0.5,2.8,0.0,2.1,0.7,0.4,0.4,0.0,0.0,3.9,19.4,133.8,1951.9,553.6,-203.4,-0.6,4.3,1.2,-0.1,1.1,1.4,128.12899780273438
2017-05,3.9,1.4,56.7,56.4,-3.3,2.3,1.9,23.1,9.3,-0.4,35.1,0.0,-0.4,2.8,0.2,2.1,0.7,0.4,0.3,0.2,0.1,4.3,19.8,97.6,2907.7,865.5,481.7,0.7,-1.6,-0.2,-1.4,-0.8,0.2,123.80000305175781
2017-04,4.5,1.5,56.8,56.2,-3.6,1.8,1.2,19.2,9.5,-0.4,26.3,0.0,0.4,2.8,0.2,1.4,0.8,0.2,0.2,-0.1,-0.1,4.3,20.3,172.2,2813.6,1076.8,614.7,0.1,3.2,0.2,-1.3,-2.7,0.2,121.41799926757812
2017-03,3.5,1.5,57.2,56.5,-5.0,1.2,0.6,15.7,9.6,-0.4,25.6,0.0,0.5,2.95,0.2,1.0,0.8,0.3,0.2,-0.4,-0.4,4.2,21.4,680.3,65.5,-853.4,813.5,-0.3,0.1,0.0,-3.8,-1.1,0.5,119.44000244140625
2017-02,1.6,1.8,55.5,55.6,-6.2,1.1,2.0,24.5,9.6,-0.4,17.1,0.0,0.1,3.1,0.6,0.5,0.5,0.3,0.0,-0.15,-0.35,4.1,22.6,155.5,1112.2,806.8,-1086.9,0.3,0.6,-0.4,-2.05,-1.3,-1.7,119.3239974975586
2017-01,0.1,1.8,55.1,53.6,-4.7,2.3,3.2,22.7,9.6,-0.4,23.2,0.0,0.2,3.1,0.6,-1.2,0.4,0.3,-0.2,0.1,-0.3,4.0,23.1,356.7,1415.5,313.4,641.4,0.2,3.0,0.2,-0.3,-0.3,0.2,121.71800231933594
2016-12,-0.4,0.6,54.9,53.8,-5.1,2.4,0.6,19.7,9.8,-0.4,18.1,0.0,0.1,3.0,0.4,-2.2,0.3,0.5,-0.4,0.0,-0.6,4.0,21.5,536.1,1719.9,587.6,152.5,0.2,1.4,0.2,-1.5,-1.0,2.5,122.94999694824219
2016-11,-1.5,0.5,53.5,54.1,-6.1,1.1,1.2,24.9,10.0,-0.4,15.8,0.0,0.2,3.0,-0.1,-2.7,0.5,0.1,-0.4,0.5,-0.4,3.7,22.1,474.3,1821.0,642.4,496.2,0.2,-2.0,-0.1,-0.4,-3.2,0.0,119.74299621582031
2016-10,-2.1,0.5,52.6,53.5,-8.0,0.6,1.8,23.3,10.05,-0.4,12.3,0.0,-0.1,3.1,0.0,-3.2,0.3,-0.5,-0.5,0.1,-0.4,3.6,22.7,349.0,2000.8,243.2,498.3,0.3,2.6,0.0,-2.1,-3.6,-1.1,114.8499984741211
2016-09,-2.8,0.4,52.6,52.1,-8.2,2.9,-0.5,20.0,10.1,-0.4,5.4,0.0,1.4,3.0,-0.3,-3.6,0.2,-0.5,-0.5,-0.5,-0.5,3.3,24.2,340.0,1938.2,613.9,-18.7,1.0,0.6,0.3,-4.6,-0.2,1.4,113.53500366210938
2016-08,-3.1,0.2,51.8,53.1,-8.5,1.6,0.4,23.4,10.1,-0.4,4.6,0.0,1.3,3.1,0.0,-3.9,0.4,-0.4,-0.5,-0.5,-0.4,3.3,24.7,317.6,974.4,763.3,513.5,-1.0,1.5,0.8,-0.5,-1.5,0.2,114.70800018310547
2016-07,-3.9,0.2,51.9,52.7,-7.9,1.6,0.5,24.5,10.1,-0.4,-14.7,0.0,-0.2,3.2,-0.1,-4.2,0.2,-0.4,-0.5,-0.4,-0.4,3.4,25.4,335.0,1809.1,39.9,692.8,1.3,-2.4,-0.7,-2.2,-2.2,0.0,114.27200317382812
2016-06,-4.4,0.1,52.6,53.3,-7.3,1.4,2.0,28.0,10.149999999999999,-0.4,20.2,0.0,0.3,3.2,0.2,-4.2,0.2,-0.4,-0.4,-0.5,-0.5,3.4,25.5,269.8,1878.5,697.1,-40.7,0.1,-1.0,1.4,-1.1,-0.8,0.0,114.3270034790039
2016-05,-4.2,-0.2,51.7,53.1,-7.0,2.1,0.2,22.3,10.2,-0.4,16.8,0.0,1.4,3.2,-0.3,-4.2,0.2,-0.3,-0.3,-0.5,-0.5,3.3,26.8,426.6,2980.4,927.2,823.5,-1.2,3.2,-0.7,-0.4,-1.2,1.4,123.55999755859375
2016-04,-4.2,0.0,51.6,53.2,-9.3,2.4,0.8,20.2,10.2,-0.4,21.5,0.0,0.9,3.3,-0.1,-3.8,0.2,-0.1,-0.3,-0.4,-0.3,3.2,28.5,276.5,2434.9,425.0,755.0,-0.9,-5.4,-0.1,-5.3,2.2,-2.3,121.75
2016-03,-2.9,-0.1,51.4,54.0,-9.7,2.0,2.8,21.2,10.3,-0.35,10.6,0.0,0.4,3.2,-0.2,-3.4,0.2,0.3,0.0,-0.1,-0.3,3.1,29.0,166.1,520.8,-411.0,242.8,-0.9,2.6,1.5,1.2,1.0,-1.1,127.3550033569336
2016-02,-3.0,-0.2,51.0,53.0,-8.8,1.4,-1.3,21.0,10.4,-0.3,13.6,0.025,0.1,3.3,-0.9,-3.1,0.2,0.0,0.0,0.1,-0.1,3.2,28.9,119.4,960.7,188.7,-645.9,-1.0,-1.0,-0.6,-3.1,0.0,-0.2,124.16000366210938
2016-01,-3.2,0.4,52.3,53.6,-5.7,1.4,1.1,22.7,10.5,-0.3,22.7,0.05,0.0,3.3,-0.3,-3.4,0.4,0.2,0.1,-0.3,-0.1,3.0,29.5,36.6,1143.5,-271.5,140.2,1.0,-0.1,-0.8,-4.4,2.0,-2.5,131.3699951171875
2015-12,-3.1,0.1,53.1,54.2,-5.7,2.5,1.9,19.9,10.7,-0.25,33.9,0.05,0.7,3.1,-0.1,-3.6,0.2,0.3,0.1,0.0,0.6,3.3,32.5,-3.3,1458.4,200.2,-379.7,-0.2,1.3,0.9,-2.9,2.9,1.1,131.6999969482422
2015-11,-3.1,0.1,52.3,54.6,-5.9,2.9,1.7,20.1,10.75,-0.2,28.3,0.05,0.6,3.4,-0.6,-3.8,0.5,0.3,-0.1,0.2,0.0,3.6,32.5,-202.3,1468.4,82.3,111.5,-0.2,1.5,-0.4,-2.4,1.7,0.7,129.9600067138672
2015-10,-2.6,0.0,52.0,54.2,-7.7,2.3,0.9,19.8,10.8,-0.2,30.1,0.05,0.5,3.3499999999999996,-0.5,-3.9,0.6,0.0,-0.1,0.1,-0.2,3.8,35.1,-355.7,1653.1,-326.1,-114.5,0.2,-0.9,0.1,-0.4,1.8,0.0,132.72999572753906
2015-09,-2.1,-0.1,52.0,54.0,-7.1,2.7,1.9,22.4,11.0,-0.2,33.3,0.05,0.6,3.3,-0.6,-3.6,0.7,0.2,-0.1,-0.1,-0.2,4.2,33.3,-358.8,1808.6,-108.0,-569.7,0.3,-0.2,0.2,-0.30000000000000004,2.1,1.2,134.906005859375
2015-08,-2.2,0.2,52.4,54.3,-6.8,1.2,1.2,21.9,11.05,-0.2,47.6,0.05,-2.4,3.4,-0.2,-3.0,0.6,0.2,0.0,0.1,-0.1,4.1,32.8,-368.8,558.6,102.6,-268.1,-0.5,0.7,0.3,-0.2,-0.3,-0.8,135.98800659179688
2015-07,-2.0,0.2,52.2,53.8,-7.1,2.4,1.6,21.2,11.1,-0.2,42.7,0.05,-0.9,3.3,-0.2,-2.4,0.4,0.4,0.1,0.2,-0.1,3.8,34.2,-251.7,1880.9,-47.3,-69.0,0.1,-3.0,-0.7,-2.0,5.3,1.7,135.73199462890625
