Date,average-weekly-earnings-regular-pay united-kingdom,average-weekly-earnings-total-pay united-kingdom,claimant-count-change united-kingdom,unemployment-rate united-kingdom,cpi-yy united-kingdom,core-cpi-mm united-kingdom,core-cpi-yy united-kingdom,ppi-input-mm united-kingdom,ppi-input-yy united-kingdom,ppi-output-mm united-kingdom,ppi-output-yy united-kingdom,rpi-mm united-kingdom,rpi-yy united-kingdom,boe-interest-rate-decision united-kingdom,trade-balance united-kingdom,trade-balance-non-eu united-kingdom,public-sector-net-borrowing united-kingdom,industrial-production-mm united-kingdom,industrial-production-yy united-kingdom,manufacturing-production-mm united-kingdom,manufacturing-production-yy united-kingdom,markit-construction-pmi united-kingdom,brc-retail-sales-monitor-yy united-kingdom,index-of-services united-kingdom,retail-sales-mm united-kingdom,retail-sales-yy united-kingdom,rics-house-price-balance united-kingdom,unemployment-rate switzerland,cpi-mm switzerland,cpi-yy switzerland,ppi-mm switzerland,ppi-yy switzerland,trade-balance switzerland,credit-suisse-economic-expectations switzerland,procurech-manufacturing-pmi switzerland,retail-sales-yy switzerland,GBPCHF
2022-08,4.7,5.1,-10.6,3.8,10.1,0.3,6.2,0.1,22.6,1.6,17.1,0.9,12.3,1.75,-22.847,-12.29,4.18,-0.9,2.4,-1.6,1.3,48.9,1.6,-0.4,0.3,-3.4,63.0,2.2,0.0,3.4,-0.1,6.3,3.585,-57.2,58.0,1.2,1.1333999633789062
2022-07,4.3,6.2,-20.1,3.8,9.4,0.4,5.8,1.8,24.0,1.4,16.5,0.9,11.8,1.5,-21.445,-10.367,22.115,0.9,1.4,1.4,2.3,52.6,-1.3,0.1,-0.1,-5.8,65.0,2.2,0.5,3.4,0.3,6.9,3.803,-72.7,59.1,-1.6,1.1579099893569946
2022-06,4.2,6.8,-19.7,3.8,9.1,0.5,5.9,2.1,22.1,1.6,15.7,0.7,11.7,1.25,-20.893,-10.988,13.226,-0.6,0.7,-1.0,0.5,56.4,-1.5,0.0,-0.5,-4.7,73.0,2.2,0.7,2.9,0.9,6.9,3.116,-52.6,60.0,-6.0,1.1573200225830078
2022-05,4.2,7.0,-56.9,3.7,9.0,0.7,6.2,1.1,18.6,2.3,14.0,3.4,11.1,1.0,-23.897,-13.804,17.796,-0.2,0.7,-0.2,1.9,58.2,-1.7,0.4,1.4,-4.9,80.0,2.2,0.4,2.5,1.3,6.7,4.127,-51.6,62.5,-6.6,1.2117400169372559
2022-04,4.0,5.4,-46.9,3.8,7.0,0.9,5.7,5.2,19.2,2.0,11.9,1.0,9.0,0.875,-20.594,-12.138,17.319,-0.6,1.6,-0.4,3.6,59.1,-0.4,0.8,-1.4,0.9,74.0,2.2,0.6,2.4,0.8,6.1,2.988,-27.8,64.0,12.8,1.2236599922180176
2022-03,3.8,4.8,-48.1,3.9,6.2,0.8,5.2,1.4,14.7,0.8,10.1,0.8,8.2,0.75,-26.499,-13.65,12.348,0.7,2.3,0.8,3.6,59.1,2.7,1.0,-0.3,7.0,79.0,2.2,0.7,2.2,0.4,5.8,5.954,9.0,62.6,5.1,1.2123899459838867
2022-02,3.7,4.3,-31.9,4.1,5.5,-0.4,4.4,0.9,13.6,1.2,9.9,0.0,7.8,0.5,-12.354,-7.876,-3.65,0.3,0.4,0.2,1.3,56.3,8.1,1.2,1.9,9.1,74.0,2.3,0.2,1.6,0.6,5.4,3.177,9.5,63.8,5.8,1.2390799522399902
2022-01,3.8,4.2,-43.3,4.1,5.4,0.5,4.2,-0.2,13.5,0.3,9.3,1.1,7.5,0.375,-11.337,-5.665,16.084,1.0,0.1,1.1,0.4,54.3,0.6,1.3,-3.7,-0.9,69.0,2.4,-0.1,1.5,-0.1,5.1,3.693,0.0,62.7,1.2,1.2479300498962402
2021-12,4.3,4.9,-49.7,4.2,5.1,0.5,4.0,1.0,14.3,0.9,9.1,0.7,7.1,0.25,-13.934,-8.618,16.62,-0.6,1.4,0.0,1.3,55.5,1.8,1.1,1.4,4.7,71.0,2.5,0.0,1.5,0.5,5.8,6.161,-10.8,62.5,2.5,1.2330700159072876
2021-11,4.9,5.8,-14.9,4.3,4.2,0.7,3.4,1.4,13.0,1.1,8.0,1.1,6.0,0.1,-14.736,-9.103,18.035,-0.4,2.9,-0.1,2.8,54.6,-0.2,1.6,0.8,-1.3,70.0,2.7,0.3,1.2,0.6,5.1,5.651,15.6,65.4,0.5,1.228600025177002
2021-10,6.0,7.2,-51.1,4.5,3.1,0.4,2.9,0.4,11.4,0.5,6.7,0.4,4.9,0.1,-14.927,-8.395,21.014,0.8,3.7,0.5,4.1,52.6,-0.6,3.7,-0.2,-1.3,68.0,2.8,0.0,0.9,0.2,4.5,5.052,25.7,68.1,-2.6,1.253000020980835
2021-09,6.8,8.3,-58.6,4.6,3.2,0.7,3.1,0.4,11.0,0.7,5.9,0.6,4.8,0.1,-12.706,-6.99,19.78,1.2,3.8,0.0,6.0,55.2,1.5,4.5,-0.9,0.0,10.0,2.9,0.2,0.9,0.7,4.4,5.056,-7.8,67.7,0.1,1.2543400526046753
2021-08,7.4,8.8,-7.8,4.7,2.0,0.0,1.8,0.8,9.9,0.6,4.9,0.5,3.8,0.1,-11.988,-7.095,9.619,-0.7,8.3,0.2,13.9,58.7,4.7,5.7,-2.5,2.4,79.0,3.0,-0.1,0.7,0.5,3.3,5.246,42.8,71.1,2.8,1.261680006980896
2021-07,6.6,7.3,-114.7,4.8,2.5,0.5,2.3,-0.1,9.1,0.4,4.3,0.7,3.9,0.1,-8.481,-4.196,22.02,0.8,20.6,-0.1,27.7,66.3,6.7,3.9,0.5,9.7,83.0,3.1,0.1,0.6,0.3,2.9,5.53,51.3,66.7,35.7,1.2585999965667725
2021-06,5.6,5.6,-92.6,4.7,2.1,0.8,2.0,1.1,10.7,0.5,4.6,0.3,3.3,0.1,-10.958,-5.549,23.605,-1.3,27.5,-0.3,39.7,64.2,18.5,1.4,-1.4,24.6,83.0,3.0,0.3,0.6,0.8,3.2,4.948,72.2,69.9,29.150000000000002,1.2744799852371216
2021-05,4.6,4.0,-15.1,4.8,1.5,0.3,1.3,1.2,9.9,0.4,3.9,1.4,2.9,0.1,-11.71,-6.548,30.962,1.8,3.6,2.1,4.8,61.6,39.6,-2.0,9.2,42.4,75.0,3.1,0.2,0.3,0.7,1.8,3.837,68.3,69.5,22.6,1.2762399911880493
2021-04,4.4,4.5,10.2,4.9,0.7,0.4,1.1,1.3,5.9,0.5,1.9,0.3,1.5,0.1,-16.442,-10.728,27.271,1.0,-3.5,1.3,-4.2,61.7,20.3,-1.9,5.4,7.2,59.0,3.3,0.3,-0.2,0.6,-0.2,5.817,66.7,66.3,-0.5,1.267799973487854
2021-03,4.2,4.8,86.5,5.0,0.4,0.0,0.9,0.6,2.6,0.6,0.9,0.5,1.4,0.1,-9.826,-1.756,18.413,-1.5,-4.9,-2.3,-5.2,53.3,9.5,-2.4,2.1,-3.7,52.0,3.6,0.2,-0.5,0.0,-1.1,3.699,55.5,61.3,4.7,1.2945400476455688
2021-02,4.1,4.7,-20.0,5.1,0.7,-0.5,1.4,0.7,1.3,0.4,-0.2,-0.3,1.4,0.1,-14.315,-5.2,8.016,0.2,-3.3,0.3,-2.5,49.2,7.1,0.6,-8.2,-5.9,50.0,3.5,0.1,-0.5,0.3,-2.1,5.054,43.2,59.4,1.7,1.263350009918213
2021-01,3.6,3.6,7.0,5.0,0.6,0.3,1.4,0.8,0.2,0.3,-0.4,0.6,1.2,0.1,-16.012,-8.012,33.375,-0.1,-4.7,0.7,-3.8,54.6,4.8,3.7,0.3,2.9,65.0,3.4,-0.1,-0.8,0.5,-2.3,2.881,46.8,58.0,2.4,1.220900058746338
2020-12,2.8,2.7,64.3,4.9,0.3,-0.1,1.1,0.2,-0.5,0.2,-0.8,-0.3,0.9,0.1,-11.999,-4.544,30.837,1.3,-5.5,1.7,-7.1,54.7,7.7,9.7,-3.8,2.4,66.0,3.4,-0.2,-0.7,-0.1,-2.7,4.458,30.0,55.2,3.1,1.2014800310134888
2020-11,1.9,1.3,-29.8,4.8,0.7,0.2,1.5,0.2,-1.3,0.0,-1.4,0.0,1.3,0.1,-9.348,-1.654,21.584,0.5,-6.3,0.2,-7.9,53.1,5.2,14.2,1.2,5.8,68.0,3.3,0.0,-0.6,0.0,-2.9,3.861,2.3,52.3,2.5,1.2054100036621094
2020-10,0.8,0.0,28.0,4.5,0.5,0.6,1.3,1.1,-3.7,-0.1,-0.9,0.3,1.1,0.1,-9.01,-2.308,35.367,0.3,-6.4,0.7,-8.4,56.8,6.1,7.1,1.5,4.7,61.0,3.3,0.0,-0.8,0.1,-3.1,3.28,26.2,53.1,3.3,1.1835399866104126
2020-09,0.2,-1.0,73.7,4.1,0.2,-0.6,0.9,-0.4,-5.8,0.0,-0.9,-0.3,0.5,0.1,-8.635,-2.363,35.195,5.2,-7.8,6.3,-9.4,54.6,4.7,-8.1,0.8,2.8,44.0,3.4,0.0,-0.9,-0.4,-3.5,3.583,45.6,51.8,4.1,1.1827800273895264
2020-08,-0.2,-1.2,94.4,3.9,1.0,0.4,1.8,1.8,-5.7,0.3,-0.9,0.5,1.6,0.1,-5.116,0.296,25.944,9.3,-12.5,11.0,-14.6,58.1,4.3,-19.9,3.6,1.4,12.0,3.3,-0.2,-0.9,0.1,-3.3,3.379,42.4,49.2,1.1,1.2066999673843384
2020-07,0.7,-0.3,-28.1,3.9,0.6,0.2,1.4,2.4,-6.4,0.3,-0.8,0.2,1.1,0.1,-2.805,0.649,34.801,6.0,-20.0,8.4,-22.8,55.3,10.9,-18.9,13.9,-1.6,-15.0,3.3,0.0,-1.3,0.5,-3.5,3.216,48.7,41.9,6.6,1.191849946975708
2020-06,1.7,1.0,528.9,3.9,0.5,0.0,1.2,0.3,-10.0,-0.3,-1.4,-0.1,1.0,0.1,-7.49,-2.658,54.499,-20.3,-24.4,-24.3,-28.5,28.9,7.9,-9.9,12.0,-13.1,-32.0,3.4,0.0,-1.3,-0.5,-4.5,2.801,31.3,42.1,0.5,1.1706600189208984
2020-05,2.7,2.4,856.5,3.9,0.8,0.1,1.4,-5.1,-9.8,-0.7,-0.7,0.0,1.5,0.1,-12.508,-4.88,61.357,-4.2,-8.2,-4.6,-9.7,8.2,5.7,-1.9,-18.1,-22.6,-21.0,3.3,-0.4,-1.1,-1.3,-4.0,4.043,12.7,40.7,-5.6,1.1867799758911133
2020-04,2.9,2.8,12.2,4.0,1.5,0.1,1.6,-3.6,-2.9,-0.2,0.3,0.2,2.6,0.175,-11.487,-5.573,2.325,0.1,-2.8,0.5,-3.9,39.3,-3.5,0.2,-5.1,-5.8,11.0,2.8,0.1,-0.5,-0.3,-2.7,4.02,-45.8,43.7,0.3,1.2145400047302246
2020-03,3.1,3.1,17.3,3.9,1.7,0.6,1.7,-1.2,-0.5,-0.3,0.4,0.5,2.5,0.25,-3.72,2.232,-0.394,-0.1,-2.9,0.2,-3.6,52.6,-0.4,0.0,-0.3,0.0,29.0,2.3,0.1,-0.1,-0.9,-2.1,3.573,7.7,49.5,-0.1,1.1872400045394897
2020-02,3.2,2.9,5.5,3.8,1.8,-0.6,1.6,0.9,2.1,0.3,1.1,-0.4,2.7,0.5,0.845,6.721,-10.538,0.1,-1.8,0.3,-2.5,48.4,0.0,0.1,0.9,0.8,17.0,2.3,-0.2,0.2,0.0,-1.0,4.777,8.3,47.8,0.1,1.236799955368042
2020-01,3.4,3.2,14.8,3.8,1.3,0.0,1.4,0.1,-0.1,0.0,0.9,0.3,2.2,0.75,-5.256,1.734,4.04,-1.2,-1.6,-1.7,-2.0,44.4,1.7,0.1,-0.6,0.9,-2.0,2.3,0.0,0.2,0.1,-1.7,1.964,12.5,50.2,0.7,1.2683000564575195
2019-12,3.5,3.2,28.8,3.8,1.5,0.2,1.7,-0.3,-2.7,-0.2,0.5,0.2,2.2,0.75,-14.486,-5.729,4.878,0.1,-1.3,0.2,-1.2,45.3,-4.9,0.2,-0.6,1.0,-12.0,2.3,-0.1,-0.1,-0.4,-2.5,3.915,-3.9,48.8,0.9,1.2700300216674805
2019-11,3.6,3.6,33.0,3.8,1.5,0.1,1.7,-1.3,-5.1,-0.1,0.8,-0.2,2.1,0.75,-12.541,-4.032,10.509,-0.3,-1.4,-0.4,-1.8,44.2,0.1,0.4,-0.1,3.1,-5.0,2.3,-0.2,-0.3,-0.2,-2.4,3.497,-30.5,49.4,-1.4,1.2910900115966797
2019-10,3.8,3.8,21.1,3.9,1.7,0.2,1.7,-0.8,-2.8,-0.1,1.2,-0.2,2.4,0.75,-9.806,-2.206,8.734,-0.6,-1.8,-0.7,-1.7,43.3,-1.7,0.4,0.0,3.1,-2.0,2.3,-0.1,0.1,-0.3,-2.0,4.02,-15.4,44.6,1.4,1.2760299444198608
2019-09,3.8,4.0,28.2,3.8,1.7,0.4,1.5,-0.1,-0.8,-0.1,1.6,0.8,2.6,0.75,-9.144,-1.932,5.766,0.1,-0.9,0.3,-0.6,45.0,-0.5,0.2,-0.2,2.7,-4.0,2.3,0.0,0.3,-0.2,-1.9,1.588,-37.5,47.2,0.7,1.2181899547576904
2019-08,3.9,3.7,27.9,3.9,2.1,0.1,1.9,0.9,1.3,0.3,1.8,0.0,2.8,0.75,-7.009,-0.186,-1.971,-0.1,-0.6,-0.2,-1.4,45.3,0.1,0.1,0.2,3.3,-9.0,2.3,-0.5,0.3,-0.1,-1.7,3.631,-24.0,44.7,-1.7,1.2013399600982666
2019-07,3.6,3.4,38.0,3.8,2.0,0.0,1.8,-1.4,-0.3,-0.1,1.6,0.1,2.9,0.75,-11.524,-4.905,6.5,1.4,0.9,1.4,0.0,43.1,-1.6,0.3,1.0,3.8,-1.0,2.3,0.0,0.6,-0.5,-1.4,4.095,-30.0,47.7,-1.2,1.203969955444336
2019-06,3.4,3.1,23.2,3.8,2.0,0.2,1.7,0.0,1.3,0.3,1.8,0.3,3.0,0.75,-12.113,-4.595,4.463,-2.7,-1.0,-3.9,-0.8,48.6,-3.0,0.2,-0.5,2.3,-10.0,2.4,0.3,0.6,0.0,-0.8,3.411,-14.3,48.6,-0.7,1.237589955329895
2019-05,3.3,3.2,24.7,3.8,2.1,0.3,1.8,1.1,3.8,0.3,2.1,1.1,3.0,0.75,-13.65,-4.361,4.967,0.7,1.3,0.9,2.6,50.5,3.7,0.3,0.0,5.2,-23.0,2.4,0.2,0.7,0.0,-0.6,2.294,-7.7,48.5,-0.2,1.2696599960327148
2019-04,3.4,3.5,28.3,3.9,1.9,0.2,1.8,-0.2,3.7,0.3,2.4,0.0,2.4,0.75,-14.112,-5.841,0.84,0.6,0.1,0.9,0.6,49.7,-1.1,0.4,1.1,6.7,-24.0,2.4,0.5,0.7,0.3,-0.2,3.179,-26.9,50.3,-0.4,1.3184000253677368
2019-03,3.4,3.4,27.1,3.9,1.9,0.5,1.8,0.6,3.7,0.1,2.2,0.7,2.5,0.75,-13.084,-4.977,-0.664,0.6,-0.9,0.8,-1.1,49.5,-0.1,0.5,0.4,4.0,-28.0,2.4,0.4,0.6,0.2,-0.7,3.126,-16.6,55.4,-0.3,1.2972999811172485
2019-02,3.4,3.4,14.2,4.0,1.8,-0.8,1.9,-0.1,2.9,0.0,2.1,-0.9,2.5,0.75,-12.102,-3.642,-15.759,-0.5,-0.9,-0.7,-2.1,50.6,1.8,0.4,1.0,4.2,-22.0,2.4,-0.3,0.6,-0.7,-0.5,3.043,-44.0,54.3,-0.5,1.3323099613189697
2019-01,3.3,3.4,20.8,4.0,2.1,0.3,1.9,-1.0,3.7,-0.3,2.5,0.4,2.7,0.75,-12.023,-3.925,2.112,-0.4,-1.5,-0.3,-1.1,52.8,-0.7,0.3,-0.9,3.0,-19.0,2.4,-0.3,0.7,-0.6,0.6,1.898,-22.2,57.8,0.8,1.3032000064849854
2018-12,3.3,3.3,21.9,4.1,2.3,0.3,1.8,-2.3,5.6,0.2,3.1,0.0,3.2,0.75,-11.873,-4.251,6.345,-0.6,-0.8,-0.9,-1.0,53.4,-0.5,0.3,1.4,3.6,-11.0,2.4,-0.3,0.9,-0.3,1.4,4.737,-42.3,57.7,-2.7,1.2481000423431396
2018-11,3.2,3.0,20.2,4.1,2.4,0.0,1.9,0.8,10.0,0.3,3.3,0.1,3.3,0.75,-9.731,-2.343,7.956,0.0,0.0,0.2,0.5,53.2,0.1,0.4,-0.5,2.2,-10.0,2.5,0.2,1.1,0.2,2.3,3.749,-39.1,57.4,0.4,1.2731599807739258
2018-10,3.1,2.7,18.6,4.0,2.4,0.0,1.9,1.3,10.3,0.4,3.1,0.0,3.3,0.75,-11.195,-4.219,3.259,0.2,1.3,-0.2,1.3,52.1,-0.2,0.5,-0.8,3.0,-2.0,2.5,0.1,1.0,-0.2,2.6,2.434,-30.8,59.7,-0.3,1.2770999670028687
2018-09,2.9,2.6,8.7,4.0,2.7,0.8,2.1,0.5,8.7,0.2,2.9,0.9,3.5,0.75,-9.973,-2.8,5.889,0.1,0.9,-0.2,1.1,52.9,0.2,0.6,0.3,3.3,2.0,2.6,0.0,1.2,0.0,3.4,2.134,-14.3,64.8,0.3,1.2791999578475952
2018-08,2.7,2.4,6.2,4.0,2.5,-0.1,1.9,0.5,10.9,0.0,3.1,0.1,3.2,0.75,-11.383,-2.94,-2.872,0.4,1.1,0.4,1.5,55.8,0.5,0.5,0.7,3.5,4.0,2.6,-0.2,1.2,0.1,3.6,2.256,-4.0,61.9,-0.1,1.2601900100708008
2018-07,2.7,2.5,7.8,4.2,2.4,-0.1,1.9,0.2,10.2,0.1,3.1,0.3,3.4,0.625,-12.362,-3.491,4.53,-0.4,0.8,0.4,1.1,53.1,1.1,0.4,-0.5,2.9,2.0,2.6,0.0,1.1,0.2,3.5,2.591,8.0,61.6,1.05,1.2977099418640137
2018-06,2.8,2.5,-7.7,4.2,2.4,0.3,2.1,2.8,9.2,0.4,2.9,0.4,3.3,0.5,-14.035,-5.372,3.356,-0.8,1.8,-1.4,1.4,52.5,2.8,0.2,1.3,3.9,-3.0,2.6,0.4,1.0,0.2,3.2,2.76,28.0,62.4,2.2,1.3042000532150269
2018-05,2.9,2.6,31.3,4.2,2.4,0.4,2.1,0.4,5.3,0.3,2.7,0.5,3.4,0.5,-12.287,-3.639,6.23,0.1,2.9,-0.1,2.9,52.5,-4.2,0.3,1.6,1.4,-8.0,2.7,0.2,0.8,0.4,2.7,2.29,7.2,63.6,-0.2,1.313040018081665
2018-04,2.8,2.8,11.6,4.2,2.5,0.2,2.3,-0.1,4.2,0.2,2.4,0.1,3.3,0.5,-10.203,-2.237,-0.262,0.1,2.2,-0.2,2.5,47.0,1.4,0.4,-1.2,1.1,0.0,2.9,0.4,0.8,-0.2,2.0,1.768,16.7,60.3,-1.4,1.3604999780654907
2018-03,2.6,2.8,9.2,4.3,2.7,0.6,2.4,-1.1,3.4,0.0,2.6,0.8,3.6,0.5,-12.325,-3.868,-0.272,1.3,1.6,0.1,2.7,51.4,0.6,0.6,0.8,1.5,0.0,2.9,0.4,0.7,0.3,2.3,3.138,25.8,65.5,0.6,1.3370000123977661
2018-02,2.5,2.5,-7.1,4.4,3.0,-0.8,2.7,0.7,4.7,0.1,2.8,-0.8,4.0,0.5,-13.576,-5.178,-11.62,-1.3,0.0,0.3,1.4,50.2,0.6,0.6,0.1,1.6,8.0,3.0,-0.1,0.7,0.3,1.8,2.095,34.5,65.3,-0.2,1.306149959564209
2018-01,2.4,2.5,8.6,4.3,3.0,0.3,2.5,0.1,4.9,0.4,3.3,0.8,4.1,0.5,-12.231,-4.675,0.979,0.4,2.5,0.4,3.5,52.2,0.6,0.4,-1.5,1.4,8.0,3.0,0.0,0.8,0.2,1.8,2.632,52.0,65.2,-0.30000000000000004,1.3227900266647339
2017-12,2.3,2.5,6.0,4.3,3.1,0.3,2.7,1.8,7.3,0.3,3.0,0.2,3.9,0.5,-10.781,-2.382,8.118,0.0,3.6,0.1,3.9,53.1,0.6,0.3,1.1,1.6,0.0,3.0,-0.1,0.8,0.6,1.8,2.633,40.7,65.1,-0.4,1.316499948501587
2017-11,2.2,2.2,1.1,4.3,3.0,0.0,2.7,1.0,4.6,0.2,2.8,0.1,4.0,0.5,-11.253,-2.982,7.464,0.7,2.5,0.7,2.7,50.8,-1.0,0.4,0.3,-0.3,1.0,3.1,0.1,0.7,0.5,1.2,2.333,32.0,62.0,-0.2,1.3206599950790405
2017-10,2.1,2.2,1.7,4.3,3.0,0.2,2.7,0.4,8.4,0.2,3.3,0.1,3.9,0.375,-14.245,-5.835,5.326,0.2,1.6,0.4,2.8,48.1,1.9,0.4,-0.8,1.2,6.0,3.1,0.2,0.7,0.5,0.8,2.918,28.0,61.7,-0.7,1.3140599727630615
2017-09,2.1,2.1,-2.8,4.3,2.9,0.6,2.7,1.6,7.6,0.4,3.4,0.7,3.9,0.25,-11.576,-3.842,5.093,0.2,0.4,0.5,1.9,51.1,1.3,0.5,1.0,2.4,6.0,3.2,0.0,0.5,0.3,0.6,2.173,25.0,61.2,1.5,1.305704951286316
2017-08,2.1,2.1,-4.2,4.4,2.6,-0.1,2.4,0.0,6.5,0.1,3.2,0.2,3.6,0.25,-12.722,-4.471,-0.76,0.5,0.3,0.0,0.6,51.9,0.9,0.5,0.3,1.3,1.0,3.2,-0.3,0.3,0.0,-0.1,3.511,34.7,60.9,-0.3,1.2449899911880493
2017-07,2.0,1.8,6.0,4.5,2.6,0.0,2.4,-0.4,9.9,0.0,3.3,0.2,3.5,0.25,-11.863,-3.796,6.278,-0.1,-0.2,-0.2,0.4,54.8,1.2,0.4,0.6,2.9,7.0,3.2,-0.1,0.2,-0.1,-0.1,2.813,20.7,60.1,-1.2,1.2737699747085571
2017-06,1.7,2.1,7.3,4.6,2.9,0.3,2.6,-1.3,11.6,0.1,3.6,0.4,3.7,0.25,-10.38,-2.07,5.993,0.2,-0.8,0.2,0.0,56.0,-0.4,0.2,-1.2,0.9,17.0,3.2,0.2,0.5,-0.3,0.1,3.4,30.8,55.6,2.1,1.2431600093841553
2017-05,2.1,2.4,19.4,4.6,2.7,0.5,2.4,0.1,16.6,0.4,3.6,0.5,3.5,0.25,-13.441,-4.674,9.648,-0.5,1.4,-0.6,2.3,53.1,5.6,0.2,2.3,4.0,22.0,3.3,0.2,0.4,-0.2,0.8,1.968,22.2,57.4,0.6,1.2496999502182007
2017-04,2.2,2.3,25.5,4.7,2.3,0.4,1.8,0.4,17.9,0.4,3.6,0.3,3.1,0.25,-12.46,-3.75,4.365,-0.7,2.8,-0.1,3.3,52.2,-1.0,0.5,-1.8,1.7,22.0,3.3,0.2,0.6,0.1,1.3,3.101,29.6,58.6,-1.4,1.2854000329971313
2017-03,2.3,2.2,-11.3,4.7,2.3,0.8,2.0,-0.4,19.1,0.2,3.7,1.1,3.2,0.25,-10.833,-2.447,1.1,-0.4,3.2,-0.9,2.7,52.5,-0.4,0.6,1.4,3.7,24.0,3.3,0.5,0.6,-0.2,1.3,3.3,19.4,57.8,-3.5,1.2482099533081055
2017-02,2.6,2.6,-42.4,4.8,1.8,-1.0,1.6,1.7,20.5,0.6,3.5,-0.6,2.6,0.25,-10.89,-2.11,-9.824,1.1,4.3,2.1,4.0,52.2,-0.6,0.8,-0.3,1.5,25.0,3.3,0.0,0.3,0.4,0.8,4.73,18.5,54.6,0.9,1.2554899454116821
2017-01,2.7,2.8,-10.1,4.8,1.6,0.5,1.6,1.8,15.8,0.1,2.7,0.6,2.5,0.25,-12.163,-3.577,6.421,2.1,2.0,1.3,1.2,54.2,1.0,1.0,-1.9,4.3,24.0,3.3,-0.1,0.0,0.2,0.0,2.716,12.9,56.0,-0.5,1.2429200410842896
2016-12,2.6,2.5,2.4,4.8,1.2,0.2,1.4,-1.1,12.9,0.0,2.3,0.3,2.2,0.25,-9.71,-1.6,12.21,-1.3,-1.1,-0.9,-0.4,52.8,0.6,1.0,0.2,5.9,30.0,3.3,-0.2,-0.3,0.1,-0.6,3.636,8.9,56.6,-2.3,1.2582999467849731
2016-11,2.4,2.3,9.8,4.8,0.9,0.0,1.2,4.6,12.2,0.6,2.1,0.0,2.0,0.25,-12.698,-3.969,4.301,-0.4,0.3,0.6,0.2,52.6,1.7,0.8,1.9,7.4,23.0,3.3,0.1,-0.2,0.1,-0.2,2.678,5.2,54.7,-3.0,1.2634899616241455
2016-10,2.3,2.3,0.7,4.9,1.0,0.2,1.5,0.0,7.2,0.2,1.2,0.2,2.0,0.25,-12.112,-3.756,10.118,-0.4,0.7,0.2,0.5,52.3,0.4,0.8,0.0,4.1,17.0,3.3,0.1,-0.2,0.3,-0.1,4.374,2.7,53.2,-2.2,1.2057900428771973
2016-09,2.1,2.3,2.4,4.9,0.6,0.4,1.3,0.2,7.6,0.1,0.8,0.4,1.8,0.25,-11.76,-4.19,10.051,0.1,2.1,-0.9,0.8,49.2,-0.9,0.6,-0.2,6.2,12.0,3.4,-0.1,-0.1,-0.3,-0.4,3.025,-2.8,51.0,-3.9,1.2524000406265259
2016-08,2.3,2.4,-8.6,4.9,0.6,-0.1,1.3,3.3,4.3,0.3,0.3,0.1,1.9,0.25,-12.409,-4.159,-1.472,0.1,1.6,-0.3,0.9,45.9,1.1,0.5,1.4,5.9,5.0,3.3,-0.4,-0.2,-0.1,-0.8,2.93,5.9,50.1,-1.6,1.286910057067871
2016-07,2.2,2.3,0.4,4.9,0.5,0.2,1.4,1.8,-0.5,0.2,-0.4,0.4,1.6,0.5,-9.88,-2.57,7.31,-0.5,1.4,-0.5,1.7,46.0,-0.5,0.3,-0.9,4.3,16.0,3.3,0.1,-0.4,0.1,-1.0,3.546,19.4,51.6,-1.9,1.2809499502182007
2016-06,2.3,2.0,-0.4,5.0,0.3,0.2,1.2,2.6,-3.9,0.1,-0.7,0.3,1.4,0.5,-10.526,-2.602,9.141,2.0,1.6,2.3,0.8,51.2,0.5,0.5,0.9,6.0,19.0,3.5,0.1,-0.4,0.4,-1.2,3.786,17.5,55.8,-1.3,1.318269968032837
2016-05,2.1,2.0,-2.4,5.1,0.3,0.0,1.2,0.9,-6.5,0.4,-0.7,0.1,1.3,0.5,-11.2,-3.11,6.582,0.3,-0.2,0.1,-1.9,52.0,-0.9,0.6,1.3,4.3,41.0,3.5,0.3,-0.4,0.3,-2.4,2.504,11.5,54.7,-0.2,1.4505000114440918
2016-04,2.2,1.8,6.7,5.1,0.5,0.6,1.5,2.0,-6.5,0.3,-0.9,0.4,1.6,0.5,-11.964,-3.357,4.165,-0.3,-0.5,-1.1,-1.8,54.2,-0.7,0.7,-1.3,2.7,42.0,3.5,0.3,-0.9,0.0,-4.7,2.163,2.5,53.2,0.2,1.4019739627838135
2016-03,2.2,2.1,-18.0,5.1,0.3,0.4,1.2,0.1,-8.1,0.1,-1.1,0.5,1.3,0.5,-10.29,-2.2,6.485,0.3,0.2,0.7,-0.1,54.2,0.1,0.9,-0.4,3.8,50.0,3.4,0.2,-0.8,-0.6,-4.6,4.071,-5.9,51.6,-1.6,1.3867900371551514
2016-02,2.0,1.9,-14.8,5.1,0.3,-1.0,1.2,-0.7,-7.6,-0.1,-1.0,-0.7,1.3,0.5,-9.917,-2.357,-11.813,-1.1,-0.4,-0.2,-1.7,55.0,2.6,0.7,2.3,5.2,49.0,3.4,-0.4,-1.3,-0.4,-5.3,3.513,-3.0,50.0,-3.1,1.3815900087356567
2016-01,1.9,2.0,-4.3,5.1,0.2,0.3,1.4,-0.8,-10.8,-0.2,-1.2,0.3,1.2,0.5,-10.64,-2.45,6.871,-0.7,0.9,-0.4,-1.2,57.8,0.1,0.6,-1.0,2.6,50.0,3.4,-0.4,-1.3,-0.4,-5.5,2.544,16.6,52.1,-0.8,1.459149956703186
