Date,average-weekly-earnings-regular-pay united-kingdom,average-weekly-earnings-total-pay united-kingdom,claimant-count-change united-kingdom,unemployment-rate united-kingdom,cpi-yy united-kingdom,core-cpi-mm united-kingdom,core-cpi-yy united-kingdom,ppi-input-mm united-kingdom,ppi-input-yy united-kingdom,ppi-output-mm united-kingdom,ppi-output-yy united-kingdom,rpi-mm united-kingdom,rpi-yy united-kingdom,trade-balance united-kingdom,trade-balance-non-eu united-kingdom,public-sector-net-borrowing united-kingdom,industrial-production-mm united-kingdom,industrial-production-yy united-kingdom,manufacturing-production-mm united-kingdom,manufacturing-production-yy united-kingdom,markit-construction-pmi united-kingdom,brc-retail-sales-monitor-yy united-kingdom,index-of-services united-kingdom,retail-sales-mm united-kingdom,retail-sales-yy united-kingdom,rics-house-price-balance united-kingdom,boe-interest-rate-decision united-kingdom,labor-cash-earnings-yy japan,unemployment-rate japan,domestic-corporate-goods-price-index-mm japan,domestic-corporate-goods-price-index-yy japan,corporate-service-price-yy japan,national-consumer-price-index-yy japan,national-consumer-price-index-ex-fresh-food-yy japan,tokyo-consumer-price-index-yy japan,tokyo-consumer-price-index-ex-fresh-food-yy japan,m2-money-stock-yy japan,monetary-base-yy japan,adjusted-trade-balance japan,current-account-nsa japan,balance-of-payments japan,trade-balance japan,all-industry-activity-index-mm japan,capacity-utilization japan,tertiary-industry-activity-index-mm japan,household-spending-yy japan,large-retailers-sales-yy japan,retail-sales-mm japan,boj-interest-rate-decision japan,GBPJPY
2013-04,1.0,1.0,-9.9,7.9,2.8,0.5,2.4,0.1,0.4,0.2,1.9,0.4,3.3,-9.165,-4.208,12.565,0.9,-2.5,0.7,-1.6,47.2,1.9,0.1,-0.6,-0.5,-2.0,0.5,-0.8,4.3,0.1,-0.5,-0.2,-0.9,-0.5,-0.7,-0.3,3.0,19.8,-919.8,637.4,-677.0,-362.4,-1.6,0.7,1.2,5.2,-3.7,1.7,0.1,151.60000610351562
2013-03,1.3,1.2,-5.3,7.8,2.8,0.6,2.3,2.8,2.1,0.8,2.3,0.7,3.2,-8.168,-3.38,7.196,-1.3,-3.1,-1.9,-3.3,46.8,2.7,-0.2,2.1,2.5,-7.0,0.5,0.1,4.2,0.4,-0.1,0.0,-0.7,-0.3,-1.0,-0.5,2.9,15.0,-1086.6,-364.8,-1479.3,-777.5,1.6,1.7,-1.1,0.8,-3.5,-0.2,0.1,143.24000549316406
2013-02,1.3,1.3,-10.0,7.8,2.7,-0.9,2.3,1.3,1.9,0.2,2.1,-0.4,3.3,-8.738,-4.169,-10.263,1.1,-2.1,1.5,-1.6,48.7,1.9,0.0,-0.7,-0.5,-4.0,0.5,-0.7999999999999999,4.3,0.4,-0.3,-0.2,-0.3,-0.2,-0.9,-0.6,2.7,10.9,-737.3,-264.1,-567.6,-1630.9,-0.4,2.9,1.1,2.4,0.1,0.0,0.1,140.0
2013-01,1.4,1.5,-12.1,7.7,2.7,0.2,2.4,0.0,0.5,-0.1,2.2,0.5,3.1,-9.275,-4.618,12.416,0.2,-2.4,-0.3,-2.0,48.7,0.3,0.6,-0.3,0.1,0.0,0.5,-1.7,4.1,0.2,-0.7,-0.4,-0.1,-0.2,-0.6,-0.5,2.6,11.8,-783.8,-222.4,-847.5,-641.5,0.2,-0.2,-0.4,-0.7,0.9,-0.1,0.1,143.781005859375
2012-12,1.7,1.8,-8.9,7.8,2.7,0.1,2.6,0.1,-0.1,-0.3,2.1,0.0,3.0,-9.487,-4.502,14.266,-0.9,-3.0,-1.3,-2.0,49.3,0.4,1.1,0.0,0.9,-9.0,0.5,-0.8,4.2,0.0,-0.9,-0.5,-0.2,-0.1,-0.6,-0.6,2.1,5.0,-852.1,376.9,-450.3,-953.4,-0.3,1.6,-0.1,0.2,-3.2,0.7,0.1,138.89999389648438
2012-11,1.9,1.8,6.0,7.8,2.7,0.7,2.6,0.1,0.0,0.2,2.6,0.6,3.2,-8.439,-3.943,6.003,-2.1,-3.2,0.1,-1.0,50.9,-0.1,1.3,-0.7,0.8,-7.0,0.5,-0.65,4.2,-0.3,-1.0,-0.7,-0.4,0.0,-0.5,-0.5,2.3,10.8,-624.3,503.6,471.3,-551.1,0.0,-5.5,0.2,-0.1,-1.0,-3.5,0.1,131.75
2012-10,2.0,1.7,0.8,7.9,2.2,0.3,2.1,-0.1,-1.0,0.5,2.5,0.5,2.6,-9.984,-5.004,9.899,-0.5,-1.0,-1.2,-1.2,49.5,1.5,0.2,0.5,2.4,-14.0,0.5,-0.5,4.2,0.2,-1.5,-0.5,-0.3,-0.1,-0.8,-0.4,2.4,9.0,-959.1,454.7,-644.5,-558.6,-0.6,-2.6,0.3,-0.9,-0.9,1.5,0.1,128.06199645996094
2012-09,1.9,1.5,-14.2,8.1,2.6,0.5,2.1,1.9,1.4,0.5,1.1,0.4,2.9,-7.337,-2.929,10.753,2.9,-0.8,3.1,-0.7,49.0,-0.4,0.1,-0.1,2.5,-18.0,0.5,-1.6,4.3,0.2,-1.9,-0.3,-0.4,-0.3,-0.7,-0.4,2.4,6.5,-461.9,625.4,-373.6,-755.9,0.2,0.5,-0.7,1.8,-4.4,-1.5,0.1,125.85900115966797
2012-08,1.8,1.8,-13.6,8.0,2.6,0.1,2.3,0.4,-2.4,0.1,1.8,0.1,3.2,-10.068,-5.077,-1.922,-2.4,-3.8,-2.9,-4.3,50.9,0.1,-0.1,0.3,2.3,-23.0,0.5,-1.35,4.3,-0.4,-2.2,-0.3,-0.4,-0.3,-0.7,-0.5,2.2,8.6,-371.9,433.3,112.0,-518.9,-0.2,-2.3,0.2,1.7,-2.6,-1.2,0.1,123.97000122070312
2012-07,1.8,1.5,1.0,8.1,2.4,-0.3,2.1,-2.9,-3.0,-0.6,2.0,-0.2,2.8,-8.364,-3.879,12.203,1.0,-1.8,1.2,-1.8,48.2,1.4,0.5,0.8,2.6,-22.0,0.5,-1.1,4.4,-0.6,-1.3,-0.4,-0.2,-0.2,-0.8,-0.6,2.2,5.9,-300.8,215.1,848.2,61.7,0.1,-2.2,0.7,1.6,-0.8,0.7,0.1,122.7249984741211
2012-06,1.8,1.4,6.9,8.2,2.8,0.1,2.2,-2.5,0.0,-0.2,2.9,0.0,3.1,-9.709,-5.125,16.052,-0.4,-2.0,-0.8,-1.5,54.4,1.3,-0.1,1.5,2.1,-17.0,0.5,-0.45,4.6,-0.5,-0.7,0.1,0.2,-0.1,-0.6,-0.6,2.2,2.4,-618.3,333.8,463.9,-910.4,-0.3,0.2,-0.2,4.0,-0.6,-0.4,0.1,125.33999633789062
2012-05,1.6,0.9,-13.7,8.2,3.0,0.6,2.1,-1.4,1.0,0.6,3.2,0.7,3.5,-8.734,-4.179,-19.93,-0.3,-2.6,0.9,-0.9,55.8,-3.3,0.1,-2.4,-1.1,-19.0,0.5,0.2,4.5,0.3,-0.2,0.2,0.4,0.2,-0.5,-0.8,2.6,-0.3,-512.0,1589.4,4.2,-522.0,-0.1,1.3,-0.6,2.6,5.1,-1.2,0.1,122.25800323486328
2012-04,1.6,1.1,-5.4,8.3,3.5,0.4,2.5,1.7,5.6,0.6,3.7,0.4,3.6,-8.59,-4.871,14.644,0.4,-2.3,-1.1,-1.5,56.7,1.3,0.1,2.0,3.1,-11.0,0.5,0.1,4.5,0.6,0.5,-0.2,0.5,0.2,-0.3,-0.5,3.0,-0.2,-616.6,1177.8,102.1,-82.6,-1.0,-1.7,0.0,3.4,0.2,2.0,0.1,130.80999755859375
2012-03,1.6,1.3,4.5,8.4,3.4,0.6,2.4,2.5,7.8,0.6,4.1,0.8,3.7,-7.883,-3.717,9.938,-0.6,-4.0,-0.3,-0.1,54.3,-0.3,0.2,-0.8,1.0,-13.0,0.5,-0.9,4.55,0.2,0.6,-0.6,0.3,0.1,-0.1,-0.3,2.9,11.3,-321.4,-437.3,-1381.6,32.9,1.6,3.4,-0.6,-2.3,-1.2,3.1,0.1,132.67999267578125
2012-02,2.0,1.9,7.0,8.4,3.6,-0.8,2.6,0.1,6.6,0.4,4.0,-0.6,3.9,-7.184,-3.601,-10.158,0.4,-3.1,1.1,0.9,51.4,-0.3,-0.1,0.3,1.4,-16.0,0.5,0.1,4.6,-0.1,0.5,-0.2,0.04999999999999999,0.0,-0.2,-0.35,3.1,15.0,-494.3,303.5,-145.8,-1475.0,-1.0,3.1,1.8,-0.8999999999999999,-0.3,0.7,0.1,128.1300048828125
2012-01,1.9,2.0,1.9,8.4,4.2,0.5,3.0,-0.6,8.9,-0.2,4.8,0.4,4.8,-8.908,-5.037,11.105,-0.5,-3.6,-0.1,-0.6,53.2,2.2,0.2,0.6,2.5,-16.0,0.5,-0.04999999999999999,4.5,0.1,1.2,0.1,-0.2,-0.1,-0.3,-0.4,3.2,13.5,-568.7,138.5,-585.1,-205.6,0.8,-2.9,-0.6,0.5,-2.5,-2.0,0.1,119.91000366210938
2011-12,1.8,2.1,0.2,8.3,4.8,0.1,3.2,0.3,13.6,0.2,5.4,0.2,5.2,-7.868,-4.556,15.085,-1.0,-2.1,-0.9,0.1,52.3,-1.6,0.2,-0.5,0.4,-17.0,0.5,-0.2,4.5,0.1,1.6,-0.1,-0.5,-0.2,-0.4,-0.3,3.0,19.5,-537.9,562.4,-206.1,-684.7,-0.7,4.1,0.7,-3.2,-1.4,1.4,0.1,119.6500015258789
2011-11,1.7,2.3,2.5,8.3,5.0,0.2,3.4,-0.8,14.3,0.0,5.7,0.0,5.4,-10.175,-5.712,3.0,0.0,-1.5,0.1,1.3,53.9,-0.6,0.7,1.0,1.1,-24.0,0.5,0.0,4.1,-0.8,1.6,0.1,-0.2,-0.1,-0.8,-0.5,2.8,17.0,-495.7,1584.8,373.2,-280.2,-0.3,-3.6,-0.7,-0.4,-3.6,-1.4,0.1,121.56999969482422
2011-10,1.8,2.7,13.4,8.1,5.2,0.2,3.3,1.8,17.7,0.3,6.3,0.8,5.6,-8.617,-5.142,10.2,0.3,-0.9,-0.3,1.6,50.1,0.3,0.8,0.5,0.5,-23.0,0.5,-0.4,4.3,-0.1,2.5,-0.1,0.0,0.2,-0.5,-0.4,2.7,16.7,-96.7,407.5,533.95,-296.2,0.4,2.4,0.0,-1.9,-2.6,-1.7,0.1,122.12999725341797
2011-09,2.1,2.8,19.1,7.9,4.5,0.7,3.1,-1.8,16.2,0.0,6.0,0.6,5.2,-8.154,-4.651,10.93,-0.4,-0.9,-0.2,2.6,52.6,-0.6,0.5,-0.4,-0.8,-23.0,0.5,-0.55,4.7,-0.2,2.6,-0.3,0.2,0.2,-0.2,-0.1,2.7,15.9,-294.4,990.2,694.7,-775.3,2.3,0.6,-0.3,-4.1,0.8,-0.3,0.1,119.69999694824219
2011-08,2.3,2.7,33.7,7.9,4.4,0.0,3.1,0.5,18.3,0.3,6.1,-0.2,5.0,-8.873,-5.718,-5.2,0.0,-0.3,-0.4,2.1,53.5,0.6,0.2,0.2,0.2,-22.0,0.5,-0.7,4.6,0.2,2.9,-0.3,0.2,0.1,-0.2,-0.2,3.0,15.0,-160.2,526.9,131.5,70.0,1.8,5.2,1.8,-2.1,-0.5,2.9,0.1,125.03600311279297
2011-07,2.1,2.3,31.3,7.7,4.2,-0.2,2.8,0.2,16.8,0.1,5.7,0.0,5.0,-8.467,-5.053,12.374,0.8,-0.9,1.8,2.8,53.6,-0.6,1.2,0.8,0.4,-26.0,0.5,1.0,4.5,0.1,2.6,-0.8,-0.4,-0.2,0.1,0.0,2.9,17.0,-196.5,590.7,772.7,68.6,1.4,12.8,0.8,-4.2,-2.5,2.4,0.1,127.21600341796875
2011-06,2.0,1.8,22.5,7.7,4.5,0.0,3.3,-1.7,16.1,0.2,5.4,0.3,5.2,-7.643,-4.508,14.594,-1.7,-1.2,-1.6,1.2,54.0,-2.1,0.9,-1.3,0.0,-28.0,0.5,0.45000000000000007,4.7,-0.1,2.2,-0.9,0.3,0.6,-0.1,0.1,2.7,16.2,-450.0,405.6,-417.5,-855.8,-6.4,-1.1,2.5,-1.9,-1.9,4.1,0.1,129.7830047607422
2011-05,2.1,2.3,16.9,7.7,4.5,0.9,3.7,2.8,17.9,1.0,5.5,0.8,5.2,-7.708,-4.495,7.748,0.2,0.1,0.2,2.2,53.3,5.2,0.9,1.1,2.4,-21.0,0.5,-0.1,4.6,0.9,2.5,-0.7,0.3,0.6,-0.1,0.1,2.7,23.9,-469.6,1679.1,240.3,-463.7,0.7,-21.5,-5.9,-3.0,-7.5,-7.6,0.1,133.32000732421875
2011-04,2.2,2.1,-8.5,7.8,4.0,0.3,3.2,3.7,14.8,1.1,5.6,0.5,5.3,-7.0,-2.849,15.646,-1.2,2.4,0.0,4.9,56.4,-3.5,-0.4,0.3,1.1,-23.0,0.5,0.09999999999999998,4.6,0.6,2.0,-1.2,0.0,-0.1,-0.1,0.2,2.7,16.9,1.4,1641.0,723.3,196.5,-0.5,2.9,1.0,-8.5,0.5,0.8,0.1,135.6999969482422
2011-03,2.3,2.3,-10.2,8.0,4.4,0.8,3.4,1.4,14.9,0.5,5.3,1.0,5.5,-7.789,-4.21,7.9,0.3,4.2,0.9,6.6,56.5,-0.4,-0.6,-0.9,1.3,-26.0,0.5,0.3,4.9,0.2,1.7,-1.1,0.0,-0.3,-0.3,-0.3,2.4,5.6,556.0,461.9,-394.5,653.3,-0.3,3.6,-0.1,-0.2,-0.7,4.1,0.1,133.6199951171875
2011-02,2.3,1.8,1.5,7.9,4.0,-0.4,3.0,2.3,14.1,1.1,5.0,0.3,5.1,-9.686,-5.816,-6.305,0.6,3.7,-0.1,4.5,53.7,2.3,-0.6,1.5,5.1,-31.0,0.5,0.1,4.9,0.5,1.6,-1.2,0.0,-0.2,-0.1,-0.4,2.3,5.5,268.8,1195.3,768.8,-471.4,-0.2,3.0,-0.8,-1.0,-1.7,-4.1,0.1,131.3769989013672
2011-01,2.3,2.1,-3.4,7.9,3.7,0.7,2.9,3.9,12.9,0.4,4.1,0.7,4.8,-8.46,-4.888,14.496,0.6,3.2,0.6,5.1,49.1,-0.3,0.3,-1.4,-0.7,-39.0,0.5,0.15000000000000002,5.1,0.4,1.2,-1.4,0.0,-0.4,-0.1,-0.2,2.3,7.0,579.9,926.2,259.7,725.9,-0.3,1.6,0.6,-3.3,0.1,2.1,0.1,129.9029998779297
2010-12,2.3,2.1,-3.2,7.9,3.3,0.2,2.7,0.9,9.2,0.4,4.1,0.4,4.7,-8.591,-4.038,19.677,-0.1,3.5,0.6,5.8,51.8,0.7,0.4,0.4,1.0,-44.0,0.5,0.2,5.1,0.1,0.9,-1.3,0.1,-0.5,-0.2,-0.4,2.6,7.6,536.0,1436.2,912.9,162.8,-0.8,-2.3,0.3,-0.4,0.4,-1.9,0.1,125.75499725341797
2010-11,2.2,2.1,-5.2,7.8,3.2,0.1,2.7,2.2,8.2,0.6,4.0,0.2,4.5,-8.392,-3.8,8.575,0.4,3.8,0.2,4.9,51.6,0.8,0.6,0.7,0.3,-49.0,0.5,0.5,5.0,0.2,0.8,-1.5,0.2,-0.6,0.2,-0.5,2.7,6.4,575.7,1959.8,927.0,821.9,-0.4,-1.1,-0.9,-0.4,-1.7,-2.8,0.1,131.00100708007812
2010-10,2.0,1.7,1.3,7.7,3.1,0.0,2.7,0.4,8.7,0.0,3.8,0.4,4.6,-8.473,-4.9,14.437,0.4,4.3,0.4,6.1,53.8,0.5,0.2,-0.5,0.0,-36.0,0.5,0.0,5.1,0.0,-0.1,-1.3,-0.6,-1.1,0.3,-0.5,2.8,5.8,611.3,1709.9,195.9,791.1,1.0,-0.9,-0.2,0.0,-1.9,1.4,0.1,128.83200073242188
2010-09,1.6,1.3,3.8,7.8,3.1,0.7,2.8,0.1,8.7,0.0,4.7,0.4,4.7,-8.675,-4.706,14.239,0.4,2.0,0.4,5.0,52.1,1.0,0.4,-0.7,0.8,-32.0,0.5,0.9,5.2,0.0,0.0,-1.4,-0.9,-1.0,-0.6,-1.0,2.8,5.6,590.0,1460.0,916.1,103.2,0.2,-0.3,1.6,1.7,-1.2,0.7,0.1,132.27999877929688
2010-08,1.3,0.8,-1.0,7.8,3.1,-0.4,2.6,-1.0,10.8,0.1,5.0,-0.2,4.8,-7.4,-3.9,1.991,-0.5,1.3,0.3,4.0,54.1,0.5,0.5,0.8,1.0,-8.0,0.5,1.8,5.3,-0.1,-0.1,-1.4,-0.9,-1.1,-1.0,-1.1,2.7,5.4,610.4,1360.0,769.0,804.2,0.2,-2.1,-0.1,1.1,-2.6,0.4,0.1,130.72000122070312
2010-07,1.6,2.7,-15.9,7.8,3.2,0.3,3.1,-0.3,10.7,-0.3,5.1,0.2,5.0,-8.028,-4.49,13.925,0.7,2.5,0.3,4.3,58.4,1.2,0.6,0.7,1.1,9.0,0.5,0.95,5.2,-0.4,0.5,-1.2,-0.7,-1.0,-1.2,-1.3,2.9,3.6,514.5,904.8,391.0,687.0,1.8,0.8,-0.9,0.8,-4.0,-2.0,0.1,135.61000061035156
2010-06,1.7,4.2,-31.1,8.0,3.4,0.3,2.9,-0.2,11.5,0.1,5.5,0.4,5.1,-7.41,-4.0,16.02,-0.7,1.0,-0.8,3.0,58.5,0.8,0.4,0.8,1.7,22.0,0.5,0.1,5.1,0.1,0.4,-0.9,-0.9,-1.25,-0.9,-1.3,3.1,3.7,320.2,1379.6,859.1,487.0,-0.8,0.0,2.1,0.5,-3.6,0.5,0.1,132.11399841308594
2010-05,1.8,4.2,-32.0,8.0,3.7,0.4,3.1,0.6,13.1,1.6,5.9,1.0,5.3,-7.52,-3.2,10.0,2.0,2.6,2.2,3.7,58.2,-2.3,0.2,0.0,1.3,19.0,0.5,1.6,5.0,0.5,-0.1,-1.2,-1.2,-1.5,-1.4,-1.5,2.9,2.9,729.1,1773.0,1074.7,740.5,-2.3,0.6,-3.0,-0.7,-5.0,0.8,0.1,132.39999389648438
2010-04,1.6,2.3,-32.7,8.0,3.4,0.5,3.0,3.8,10.3,0.9,5.0,0.7,4.4,-6.3,-2.1,18.0,0.9,-0.3,1.4,1.3,53.1,4.4,0.4,0.5,1.8,9.0,0.5,1.4000000000000001,4.9,0.2,-1.3,-1.3,-1.1,-1.2,-1.5,-1.9,2.7,2.1,666.2,1119.0,778.0,948.9,3.8,0.0,-0.2,4.4,-4.0,0.9,0.1,143.4199981689453
2010-03,1.4,0.8,-40.1,7.8,3.0,0.4,2.9,0.1,6.9,0.3,4.1,0.6,3.7,-8.1,-3.9,12.4,-0.5,-1.6,-1.0,0.1,48.5,2.2,0.45,2.5,3.2,18.0,0.5,1.2,4.9,0.1,-1.5,-1.2,-1.1,-1.2,-1.7,-1.8,2.9,2.2,471.8,1712.8,197.2,651.0,-0.3,3.9,2.9,1.7,-5.7,2.0,0.1,142.04100036621094
2010-02,1.1,0.6,16.2,7.8,3.5,-0.6,3.1,2.0,8.4,0.4,3.8,0.0,3.7,-7.0,-2.6,0.43,0.5,-3.7,0.9,-1.9,48.6,-0.7,0.5,-3.0,0.8,32.0,0.5,1.0,4.9,0.1,-2.1,-1.2,-1.2,-1.3,-1.8,-1.8,2.9,4.9,728.4,1100.5,631.2,85.2,0.2,1.4,-0.9,1.9,-4.6,-1.2,0.1,134.91299438476562
2010-01,1.1,0.6,-18.8,7.8,2.9,0.6,2.8,0.6,7.4,0.5,3.5,0.6,2.4,-6.8,-2.9,14.0,0.4,-5.7,0.2,-4.9,47.1,4.2,0.1,-0.2,2.4,30.0,0.5,-0.8999999999999999,5.2,0.1,-3.9,-1.5,-2.0,-1.3,-1.9500000000000002,-2.0,3.1,5.2,655.9,1304.8,490.6,545.3,1.1,3.2,-0.1,2.1,-7.1499999999999995,0.0,0.1,144.1300048828125
2009-12,1.2,0.5,-8.4,7.9,1.9,0.2,1.9,0.1,4.0,0.2,2.9,0.3,0.3,-7.0,-3.1,18.7,0.1,-8.4,0.0,-7.8,47.0,1.8,0.1,-0.3,3.1,35.0,0.5,-2.8,5.1,0.1,-5.0,-2.0,-1.9,-1.7,-2.1,-1.9,3.3,3.8,492.4,1321.4,949.0,371.3,-0.6,0.2,0.4,2.2,-9.7,-0.9,0.1,150.2100067138672
2009-11,1.7,0.7,10.6,7.8,1.5,0.1,1.8,2.6,0.1,0.2,1.9,0.3,-0.8,-6.9,-3.1,10.2,1.3,-10.8,1.5,-9.8,46.2,3.8,-0.1,0.6,3.7,34.0,0.5,-1.9,5.3,-0.7,-6.7,-2.2,-2.5,-1.9,-2.2,-1.9,3.4,4.4,419.1,1338.0,599.2,805.4,0.9,1.6,-0.6,1.6,-7.6499999999999995,0.9,0.1,141.91000366210938
2009-10,1.9,0.7,15.4,7.9,1.1,0.1,1.7,-0.5,-6.5,0.5,0.4,0.4,-1.4,-6.1,-2.2,14.9,-2.6,-11.5,-2.0,-11.6,46.7,2.8,-0.1,0.4,2.9,22.0,0.5,-2.5,5.5,-0.35,-7.35,-3.2,-2.2,-2.3,-2.4,-2.2,3.0,4.5,58.6,1233.6,303.7,525.3,0.5,2.3,0.3,1.0,-5.6,1.0,0.1,148.5500030517578
2009-09,2.2,0.7,20.2,7.9,1.6,0.6,1.8,2.0,-7.5,0.3,-0.4,0.5,-1.3,-6.4,-2.45,14.7,0.4,-9.9,0.9,-10.1,47.7,-0.1,-0.3,0.0,2.1,10.0,0.5,-3.1,5.7,0.0,-8.0,-3.5,-2.2,-2.4,-2.1,-2.1,2.8,6.1,173.5,1159.0,437.3,183.3,0.2,3.9,0.6,-0.5,-6.15,0.35000000000000003,0.1,143.79400634765625
2009-08,2.5,1.1,21.4,7.8,1.8,0.0,1.8,-1.4,-12.2,0.3,-1.3,0.0,-1.4,-6.4,-2.37,8.0,0.6,-10.7,0.6,-11.3,47.0,1.8,-0.6,0.2,2.9,-8.1,0.5,-5.6,5.4,0.4,-8.5,-3.4,-2.2,-2.2,-1.7,-1.9,2.7,6.1,222.1,1798.8,602.2,377.9,0.7,2.3,0.2,-2.0,-6.7,-0.3,0.1,151.27999877929688
2009-07,2.6,2.3,20.9,7.6,1.8,0.2,1.6,1.5,-11.0,-0.2,-1.2,0.3,-1.6,-6.2,-1.91,13.4,-0.7,-12.0,-0.6,-12.7,44.5,1.4,-1.2,1.3,3.1,-18.1,0.5,-4.15,5.2,-0.4,-6.6,-3.2,-1.8,-1.7,-1.8,-1.7,2.7,6.1,374.1,1015.8,387.3,507.5,2.6,8.0,-0.3,0.2,-6.5,0.1,0.1,158.0800018310547
2009-06,2.7,0.4,33.7,7.2,2.2,0.4,1.6,0.4,-9.4,0.4,-0.3,0.6,-1.1,-7.1,-3.0,19.9,0.2,-12.4,0.0,-13.2,45.9,-0.8,-1.2,-0.6,-1.6,-43.8,0.5,-2.7,5.0,-0.5,-5.5,-3.0,-1.1,-1.1,-1.5,-1.3,2.7,7.9,309.5,966.3,184.3,298.2,-1.8,10.2,2.2,0.3,-6.7,0.6,0.1,158.55999755859375
2009-05,3.0,-1.8,51.9,7.1,2.3,0.4,1.5,-1.0,-5.0,0.6,1.2,0.1,-1.2,-6.5,-2.5,10.6,-0.3,-12.7,0.2,-13.1,38.1,4.6,-1.2,0.9,2.6,-59.9,0.5,-3.9,4.8,-0.6,-4.0,-2.4,-0.1,-0.1,-0.8,-0.7,2.7,8.2,81.7,902.3,132.9,69.0,-2.3,0.8,-2.8,-1.3,-8.1,-1.1,0.1,154.13999938964844
2009-04,3.2,-2.7,65.5,6.7,2.9,0.4,1.7,1.3,-0.4,0.1,2.0,0.0,-0.4,-6.8,-2.8,18.2,-0.7,-12.3,-0.3,-13.4,30.9,-1.2,-1.3,1.1,0.9,-72.1,0.5,-3.3,4.4,-0.3,-2.5,-2.1,-0.3,-0.1,-0.2,0.0,2.2,6.9,-97.1,685.0,202.1,10.3,-1.7,-11.9,-0.8,-0.4,-8.1,-0.2,0.1,145.9219970703125
2009-03,3.5,-1.7,141.9,6.5,3.2,0.7,1.6,0.6,0.5,0.1,3.1,0.6,0.0,-7.8,-3.1,9.0,-2.7,-11.6,-3.0,-12.9,27.8,-1.8,-1.3,-2.0,0.4,-78.1,0.5,-2.7,4.1,-0.5,-1.6,-2.6,-0.1,0.0,0.2,0.4,2.1,6.4,71.1,258.0,-844.4,82.1,-2.6,-12.9,0.4,-3.5,-1.1,-0.1,0.1,141.98800659179688
2009-02,3.6,1.0,62.8,6.3,3.0,-0.8,1.3,1.5,2.3,0.1,3.5,-1.3,0.1,-7.2,-3.248,-3.3,-1.7,-9.4,-2.2,-10.2,34.5,1.1,-0.8,0.8,3.6,-77.0,1.0,-0.8,4.4,-0.8,-0.3,-2.4,0.0,0.0,0.5,0.6,2.0,3.9,-400.0,407.5,-197.9,-956.9,-2.3,-11.8,-1.6,-5.9,-6.3,-1.9,0.1,139.42999267578125
2009-01,3.6,2.5,80.8,6.1,3.1,-0.3,1.1,-2.0,4.3,0.0,4.7,-1.4,0.9,-8.1,-4.0,16.5,-2.3,-6.9,-2.9,-7.4,29.3,-3.3,-0.5,1.6,4.0,-73.0,1.5,-0.75,3.9,-1.1,1.1,-2.5,0.4,0.0,0.5,0.5,1.8,1.8,-214.2,557.0,-93.4,-322.3,-0.5,-9.4,-1.1,-4.6,-3.2,-0.1,0.1,130.0500030517578
2008-12,3.6,2.8,90.3,6.0,4.1,0.1,2.0,-3.3,7.5,-0.7,5.1,-0.8,3.0,-7.6,-3.9,16.0,-1.6,-5.2,-1.4,-5.0,31.8,-2.6,-0.3,0.3,1.3,-76.0,2.0,-0.7,3.7,-1.9,2.8,-2.0,1.0,1.0,0.8,0.8,1.7,1.9,-367.6,1113.2,145.0,-225.2,-0.1,-3.9,0.4,-0.5,-4.3,-0.6,0.1,131.3800048828125
2008-11,3.6,3.1,44.6,5.8,4.5,0.0,1.9,-4.3,15.4,-1.0,6.7,-0.3,4.2,-7.5,-3.9,3.3,-0.3,-2.9,-0.8,-2.3,35.1,-2.2,-0.5,-0.3,1.7,-82.0,3.0,0.1,4.0,-1.6,4.8,-1.4,1.7,1.9,1.1,1.1,1.8,1.4,-247.9,970.5,247.1,-67.7,-1.8,1.6,-0.6,-3.8,-3.3,-0.5,0.3,146.2899932861328
2008-10,3.6,3.4,45.7,5.7,5.2,0.2,2.2,-1.2,24.5,-0.3,8.5,0.6,5.0,-8.2,-4.4,8.1,-0.6,-2.3,-0.6,-2.0,38.8,-1.5,-0.3,-0.5,1.7,-84.2,4.5,-0.3,4.2,-0.4,6.8,0.1,2.1,2.3,1.2,1.5,2.2,0.9,33.0,903.2,-236.0,95.1,0.8,-3.5,-1.4,-2.3,-2.2,0.7,0.5,157.7899932861328
2008-09,3.7,3.7,32.0,5.5,4.7,0.6,2.0,-2.0,26.2,-0.6,9.7,0.3,4.8,-7.7,-4.8,10.4,-0.4,-1.5,-0.2,-1.4,40.5,-1.0,-0.04999999999999999,1.2,3.3,-81.0,5.0,0.3,4.0,-0.1,7.2,1.4,2.1,2.4,1.4,1.7,2.4,-0.2,-113.3,1555.9,232.2,-324.0,-0.9,1.4,1.2,-4.0,-0.7,0.0,0.5,188.91000366210938
2008-08,3.7,3.4,20.1,5.4,4.4,-0.2,1.9,-0.6,30.1,0.4,10.2,-0.1,5.0,-8.0,-5.0,-4.8,-0.1,-1.7,-0.5,-1.3,36.7,-0.9,0.2,0.8,2.1,-83.9,5.0,0.25,4.1,2.0,7.1,1.3,2.3,2.4,1.3,1.5,2.1,-0.7,172.4,1290.7,252.1,91.1,0.4,-1.7,-0.8,-0.5,-3.9,0.0,0.5,196.25999450683594
